Observation date;CCTs, held by Rest of the World, flows
2025-12-31;-5299
2024-12-31;1104
2023-12-31;3892
2022-12-31;-1308
2021-12-31;595
2020-12-31;-4537
2019-12-31;3830
2018-12-31;-4001
2017-12-31;-2709
2016-12-31;11459
2015-12-31;496
2014-12-31;-858
2013-12-31;-189
2012-12-31;12
2011-12-31;1545
2010-12-31;599
2009-12-31;-2562
2008-12-31;634
2007-12-31;-12892
2006-12-31;-13442
2005-12-31;16101
2004-12-31;-131
2003-12-31;-161
2002-12-31;-2000
2001-12-31;-14201
2000-12-31;2163
1999-12-31;-10531
1998-12-31;26786
1997-12-31;2897
1996-12-31;5753
1995-12-31;13325
