Observation date;Banks: securities other than shares - government securities - CCTs
2026-06-30;89149.7
2026-05-31;89323.77
2026-04-30;86021.66
2026-03-31;89831.11
2026-02-28;88889.46
2026-01-31;87962.94
2025-12-31;91113.35
2025-11-30;85316.22
2025-10-31;83973.4
2025-09-30;81956.53
2025-08-31;84889.76
2025-07-31;83259.48
2025-06-30;82728.77
2025-05-31;81794
2025-04-30;82580.97
2025-03-31;86478.9
2025-02-28;85651.04
2025-01-31;84531.73
2024-12-31;85851.14
2024-11-30;85187.06
2024-10-31;81189.6
2024-09-30;84957.07
2024-08-31;85256.3
2024-07-31;83957.42
2024-06-30;83491.87
2024-05-31;83288.31
2024-04-30;80633.32
2024-03-31;80703.99
2024-02-29;81446.92
2024-01-31;85179.18
2023-12-31;85776.41
2023-11-30;88199.51
2023-10-31;87361.87
2023-09-30;86403.61
2023-08-31;87095.07
2023-07-31;87344.68
2023-06-30;89542.66
2023-05-31;89506.23
2023-04-30;87573.61
2023-03-31;86697.98
2023-02-28;83489.6
2023-01-31;81668.84
2022-12-31;81627.66
2022-11-30;84033.4
2022-10-31;83249.09
2022-09-30;81263.97
2022-08-31;81096.44
2022-07-31;81045.89
2022-06-30;80885.63
2022-05-31;83426.96
2022-04-30;83852.06
2022-03-31;84284.17
2022-02-28;82044.91
2022-01-31;80752
2021-12-31;81424.9
2021-11-30;81326.71
2021-10-31;81528.16
2021-09-30;80364.51
2021-08-31;78932.23
2021-07-31;78147.7
2021-06-30;73912.7
2021-05-31;71796.83
2021-04-30;70425.76
2021-03-31;68541.61
2021-02-28;68271.64
2021-01-31;67413.96
2020-12-31;67457.44
2020-11-30;70630.33
2020-10-31;70538.5
2020-09-30;70749.35
2020-08-31;70487.21
2020-07-31;69229.91
2020-06-30;68317.51
2020-05-31;66074.73
2020-04-30;64783.48
2020-03-31;63919.1
2020-02-29;62560.88
2020-01-31;59758.57
2019-12-31;59975.46
2019-11-30;60717.44
2019-10-31;65371.05
2019-09-30;67387.64
2019-08-31;66220.74
2019-07-31;65356.88
2019-06-30;61750.16
2019-05-31;60258.49
2019-04-30;60266.57
2019-03-31;59444.94
2019-02-28;58471.93
2019-01-31;56629.47
2018-12-31;55294.94
2018-11-30;54065.46
2018-10-31;57844.6
2018-09-30;57443.26
2018-08-31;56193.36
2018-07-31;57272.81
2018-06-30;56752.28
2018-05-31;54270.33
2018-04-30;52601.13
2018-03-31;55192.61
2018-02-28;52822.93
2018-01-31;51716.64
2017-12-31;50794.91
2017-11-30;52582.94
2017-10-31;51928.3
2017-09-30;60910.16
2017-08-31;60527.85
2017-07-31;59287.96
2017-06-30;59210.49
2017-05-31;61400.5
2017-04-30;60605.87
2017-03-31;59921.55
2017-02-28;61057.28
2017-01-31;58402.82
2016-12-31;58225.76
2016-11-30;56669.51
2016-10-31;56614.29
2016-09-30;57393.27
2016-08-31;57111.83
2016-07-31;57177.92
2016-06-30;61944.97
2016-05-31;62148.24
2016-04-30;61456.67
2016-03-31;60650.68
2016-02-29;63840.34
2016-01-31;63013.76
2015-12-31;63439.58
2015-11-30;69341.18
2015-10-31;68886.73
2015-09-30;67528.5
2015-08-31;69286.55
2015-07-31;68558.33
2015-06-30;67283.47
2015-05-31;67087.89
2015-04-30;66838.54
2015-03-31;66181.46
2015-02-28;66899.81
2015-01-31;65489.55
2014-12-31;64584.13
2014-11-30;70571.54
2014-10-31;68107.93
2014-09-30;65427.67
2014-08-31;64157.61
2014-07-31;64113.67
2014-06-30;63405.79
2014-05-31;63554.76
2014-04-30;61460.23
2014-03-31;60003.17
2014-02-28;64253.1
2014-01-31;62044.71
2013-12-31;62386.56
2013-11-30;62224.29
2013-10-31;62657.08
2013-09-30;61701.69
2013-08-31;58923
2013-07-31;59644.15
2013-06-30;63542.7
2013-05-31;61296.44
2013-04-30;58459.64
2013-03-31;56005.93
2013-02-28;55517.88
2013-01-31;55240.08
2012-12-31;52516.42
2012-11-30;52180.48
2012-10-31;56903.11
2012-09-30;53210.82
2012-08-31;51295.77
2012-07-31;50337.71
2012-06-30;50365.74
2012-05-31;49239.34
2012-04-30;49258.47
2012-03-31;47821.73
