Observation date;CCTs: turnover on the italian stock exchange
2026-07-31;337.156
2026-06-30;444.1
2026-05-31;446.78
2026-04-30;470.696
2026-03-31;606.107
2026-02-28;418.352
2026-01-31;423.87
2025-12-31;378.855
2025-11-30;351.489
2025-10-31;465.53
2025-09-30;468.942
2025-08-31;354.189
2025-07-31;438.23
2025-06-30;619.975
2025-05-31;350.246
2025-04-30;594.179
2025-03-31;698.833
2025-02-28;488.78
2025-01-31;466.25
2024-12-31;505.808
2024-11-30;618.538
2024-10-31;522.68
2024-09-30;564.158
2024-08-31;324.47
2024-07-31;425.833
2024-06-30;517.265
2024-05-31;753.363
2024-04-30;635.346
2024-03-31;839.647
2024-02-29;795.093
2024-01-31;1007.835
2023-12-31;647.505
2023-11-30;538.649
2023-10-31;613.163
2023-09-30;640.352
2023-08-31;559.73
2023-07-31;390.137
2023-06-30;585.583
2023-05-31;814.177
2023-04-30;290.158
2023-03-31;430.476
2023-02-28;439.56
2023-01-31;409.871
2022-12-31;314.468
2022-11-30;271.067
2022-10-31;267.096
2022-09-30;194.555
2022-08-31;169.614
2022-07-31;184.841
2022-06-30;366.62
2022-05-31;299.034
2022-04-30;327.2
2022-03-31;418.557
2022-02-28;409.63
2022-01-31;301.031
2021-12-31;295.502
2021-11-30;261.611
2021-10-31;267.575
2021-09-30;357.338
2021-08-31;217.811
2021-07-31;386.318
2021-06-30;396.074
2021-05-31;391.385
2021-04-30;436.408
2021-03-31;557.783
2021-02-28;951.759
2021-01-31;694.303
2020-12-31;578.202
2020-11-30;578.434
2020-10-31;869.007
2020-09-30;656.431
2020-08-31;752.406
2020-07-31;1345.496
2020-06-30;659.043
2020-05-31;646.223
2020-04-30;682.522
2020-03-31;1210.604
2020-02-29;1482.843
2020-01-31;1133.631
2019-12-31;645.694
2019-11-30;1035.438
2019-10-31;1315.329
2019-09-30;2410.31
2019-08-31;1039.005
2019-07-31;1659.179
2019-06-30;1274.584
2019-05-31;1318.026
2019-04-30;1241.353
2019-03-31;1522.469
2019-02-28;1416.596
2019-01-31;1595.609
2018-12-31;1274.812
2018-11-30;1118.835
2018-10-31;1519.454
2018-09-30;1502.974
2018-08-31;866.3
2018-07-31;1195.949
2018-06-30;1762.045
2018-05-31;2772.488
2018-04-30;1597.527
2018-03-31;2035.757
2018-02-28;1556.555
2018-01-31;2014.339
2017-12-31;2591.82
2017-11-30;4002.89
2017-10-31;3981.325
2017-09-30;2400.267
2017-08-31;1298.867
2017-07-31;1248.114
2017-06-30;2538.199
2017-05-31;2406.672
2017-04-30;1310.535
2017-03-31;1913.026
2017-02-28;1854.976
2017-01-31;1727.819
2016-12-31;1667.04
2016-11-30;1523.263
2016-10-31;1002.566
2016-09-30;999.969
2016-08-31;905.234
2016-07-31;1063.106
2016-06-30;1589.345
2016-05-31;1107.273
2016-04-30;1220.29
2016-03-31;1213.857
2016-02-29;1680.857
2016-01-31;1524.833
2015-12-31;1183.76
2015-11-30;1012.845
2015-10-31;1244.488
2015-09-30;1068.475
2015-08-31;806.378
2015-07-31;1272.406
2015-06-30;1809.991
2015-05-31;1504.115
2015-04-30;2131.14
2015-03-31;1769.17
2015-02-28;1996.065
2015-01-31;2794.215
2014-12-31;2066.738
2014-11-30;1717.157
2014-10-31;2567.803
2014-09-30;2084.995
2014-08-31;1534.85
2014-07-31;1639.861
2014-06-30;1887.316
2014-05-31;1971.485
2014-04-30;2346.437
2014-03-31;2780.235
2014-02-28;2261.846
2014-01-31;3254.315
2013-12-31;2301.701
2013-11-30;3057.001
2013-10-31;2974.138
2013-09-30;2075.414
2013-08-31;2050.612
2013-07-31;2748.461
2013-06-30;2372.045
2013-05-31;4082.039
2013-04-30;4102.076
2013-03-31;3022.874
2013-02-28;3249.062
2013-01-31;5116.882
2012-12-31;3328.042
2012-11-30;2859.941
2012-10-31;3916.712
2012-09-30;3588.357
2012-08-31;2426.961
2012-07-31;2489.346
2012-06-30;2215.695
2012-05-31;2508.342
