Observation date;CCTs, held by Central Bank, stock
2026-03-31;7208
2025-12-31;7242
2025-09-30;7217
2025-06-30;10400
2025-03-31;13526
2024-12-31;16797
2024-09-30;21320
2024-06-30;21126
2024-03-31;20462
2023-12-31;23771
2023-09-30;25920
2023-06-30;30280
2023-03-31;30157
2022-12-31;29938
2022-09-30;34030
2022-06-30;33035
2022-03-31;37184
2021-12-31;35802
2021-09-30;33363
2021-06-30;31157
2021-03-31;30128
2020-12-31;28829
2020-09-30;31183
2020-06-30;29986
2020-03-31;28354
2019-12-31;27993
2019-09-30;30030
2019-06-30;29038
2019-03-31;28753
2018-12-31;28399
2018-09-30;28474
2018-06-30;27293
2018-03-31;28804
2017-12-31;27551
2017-09-30;22568
2017-06-30;19193
2017-03-31;0
2016-12-31;14445
2016-09-30;0
2016-06-30;0
2016-03-31;0
2015-12-31;0
2015-09-30;0
2015-06-30;0
2015-03-31;0
2014-12-31;0
2014-09-30;0
2014-06-30;0
2014-03-31;0
2013-12-31;0
2013-09-30;0
2013-06-30;0
2013-03-31;0
2012-12-31;2135
2012-09-30;2765
2012-06-30;2655
2012-03-31;2754
2011-12-31;3473
2011-09-30;4912
2011-06-30;4382
2011-03-31;6120
2010-12-31;5950
2010-09-30;7472
2010-06-30;7405
2010-03-31;8819
2009-12-31;9814
2009-09-30;10694
2009-06-30;12099
2009-03-31;12654
2008-12-31;13199
2008-09-30;12881
2008-06-30;13048
2008-03-31;12990
2007-12-31;13422
2007-09-30;14618
2007-06-30;15353
2007-03-31;15163
2006-12-31;14809
2006-09-30;15636
2006-06-30;15293
2006-03-31;14375
2005-12-31;15022
2005-09-30;13810
2005-06-30;13156
2005-03-31;12682
2004-12-31;11872
2004-09-30;11361
2004-06-30;10558
2004-03-31;10083
2003-12-31;10055
2003-09-30;9164
2003-06-30;8871
2003-03-31;8505
2002-12-31;8640
2002-09-30;8741
2002-06-30;8756
2002-03-31;7993
2001-12-31;7816
2001-09-30;7627
2001-06-30;7261
2001-03-31;6214
2000-12-31;5858
2000-09-30;5736
2000-06-30;5535
2000-03-31;5214
1999-12-31;2570
1999-09-30;4946
1999-06-30;5425
1999-03-31;5938
1998-12-31;6549
1998-09-30;3481
1998-06-30;4051
1998-03-31;4085
1997-12-31;4619
1997-09-30;3746
1997-06-30;9481
1997-03-31;10861
1996-12-31;11296
1996-09-30;12686
1996-06-30;12569
1996-03-31;12138
1995-12-31;12593
1995-09-30;11668
1995-06-30;11474
1995-03-31;10833
