Observation date;CCTs, held by households and non-profit inst. serving households, stocks
2026-03-31;3656
2025-12-31;4655
2025-09-30;4643
2025-06-30;4717
2025-03-31;5180
2024-12-31;4966
2024-09-30;6286
2024-06-30;7857
2024-03-31;4693
2023-12-31;4930
2023-09-30;5198
2023-06-30;4853
2023-03-31;4023
2022-12-31;3679
2022-09-30;3836
2022-06-30;3691
2022-03-31;4595
2021-12-31;3990
2021-09-30;3673
2021-06-30;4079
2021-03-31;4191
2020-12-31;3774
2020-09-30;3735
2020-06-30;3179
2020-03-31;2865
2019-12-31;2476
2019-09-30;4133
2019-06-30;4654
2019-03-31;4400
2018-12-31;4110
2018-09-30;5649
2018-06-30;5099
2018-03-31;6999
2017-12-31;7146
2017-09-30;8977
2017-06-30;8852
2017-03-31;17404
2016-12-31;8439
2016-09-30;13318
2016-06-30;14541
2016-03-31;12009
2015-12-31;18687
2015-09-30;16781
2015-06-30;15764
2015-03-31;15652
2014-12-31;16545
2014-09-30;19383
2014-06-30;20309
2014-03-31;16471
2013-12-31;19575
2013-09-30;21744
2013-06-30;23775
2013-03-31;24545
2012-12-31;18808
2012-09-30;20137
2012-06-30;21801
2012-03-31;23024
2011-12-31;31520
2011-09-30;27581
2011-06-30;29460
2011-03-31;27936
2010-12-31;30645
2010-09-30;31485
2010-06-30;29052
2010-03-31;38415
2009-12-31;45679
2009-09-30;40538
2009-06-30;43421
2009-03-31;51775
2008-12-31;48607
2008-09-30;49043
2008-06-30;50205
2008-03-31;57092
2007-12-31;59771
2007-09-30;54598
2007-06-30;52260
2007-03-31;49721
2006-12-31;36381
2006-09-30;30903
2006-06-30;25913
2006-03-31;11191
2005-12-31;12888
2005-09-30;22024
2005-06-30;19638
2005-03-31;20776
2004-12-31;21382
2004-09-30;21332
2004-06-30;19720
2004-03-31;24636
2003-12-31;24294
2003-09-30;26112
2003-06-30;28113
2003-03-31;34439
2002-12-31;41223
2002-09-30;49261
2002-06-30;51669
2002-03-31;50940
2001-12-31;52045
2001-09-30;55911
2001-06-30;45148
2001-03-31;43551
2000-12-31;42902
2000-09-30;44032
2000-06-30;41024
2000-03-31;41394
1999-12-31;40501
1999-09-30;44629
1999-06-30;44935
1999-03-31;49623
1998-12-31;70073
1998-09-30;86766
1998-06-30;96754
1998-03-31;113104
1997-12-31;124828
1997-09-30;121103
1997-06-30;113795
1997-03-31;114466
1996-12-31;110787
1996-09-30;102368
1996-06-30;93509
1996-03-31;88792
1995-12-31;85597
1995-09-30;69111
1995-06-30;61250
1995-03-31;49284
