Observation date;Banks: securities other than shares - government securities - BTPs
2026-06-30;291518.09
2026-05-31;289935.58
2026-04-30;286912.44
2026-03-31;288985.2
2026-02-28;283676.08
2026-01-31;278863.28
2025-12-31;280249.72
2025-11-30;283783.84
2025-10-31;287795.15
2025-09-30;280491.2
2025-08-31;277280.64
2025-07-31;277870.36
2025-06-30;275590.49
2025-05-31;275256.52
2025-04-30;276298.23
2025-03-31;270866.09
2025-02-28;269089.8
2025-01-31;263919.15
2024-12-31;252672.75
2024-11-30;265254.53
2024-10-31;259719.13
2024-09-30;257247.66
2024-08-31;256715.41
2024-07-31;257903.43
2024-06-30;250937.19
2024-05-31;246559.19
2024-04-30;245632.29
2024-03-31;246543.75
2024-02-29;248370.85
2024-01-31;244165.97
2023-12-31;252641.87
2023-11-30;247320.47
2023-10-31;249802.81
2023-09-30;254206.89
2023-08-31;262176.31
2023-07-31;267095.31
2023-06-30;263242.6
2023-05-31;270239
2023-04-30;282182.27
2023-03-31;282426.18
2023-02-28;283711.61
2023-01-31;278710.07
2022-12-31;272547.67
2022-11-30;286017.88
2022-10-31;287685.5
2022-09-30;282430.39
2022-08-31;296162.39
2022-07-31;310306.62
2022-06-30;308318.96
2022-05-31;310239.45
2022-04-30;310213.25
2022-03-31;315514.47
2022-02-28;318106.31
2022-01-31;306621.63
2021-12-31;297792.91
2021-11-30;301684.48
2021-10-31;298661.22
2021-09-30;301093.32
2021-08-31;306088.37
2021-07-31;306974.14
2021-06-30;303861.64
2021-05-31;307574.24
2021-04-30;305108.8
2021-03-31;304187.38
2021-02-28;305379.06
2021-01-31;300733.32
2020-12-31;298832.16
2020-11-30;303474.34
2020-10-31;312260.5
2020-09-30;318296.16
2020-08-31;314562.67
2020-07-31;313698.9
2020-06-30;310333.8
2020-05-31;309018.02
2020-04-30;301265.84
2020-03-31;290529.67
2020-02-29;277212.52
2020-01-31;279410.2
2019-12-31;278254.3
2019-11-30;282131.73
2019-10-31;284779.78
2019-09-30;286221.37
2019-08-31;286478.6
2019-07-31;287247.88
2019-06-30;280769.08
2019-05-31;277795.54
2019-04-30;278174.17
2019-03-31;275442.54
2019-02-28;277075.63
2019-01-31;275281.86
2018-12-31;270434
2018-11-30;269782.01
2018-10-31;260409.34
2018-09-30;258115.05
2018-08-31;256366.41
2018-07-31;265027.18
2018-06-30;265545.2
2018-05-31;256987.13
2018-04-30;250571.36
2018-03-31;245910.95
2018-02-28;240222.07
2018-01-31;240113.38
2017-12-31;234370.1
2017-11-30;241385.24
2017-10-31;257973.37
2017-09-30;261990.36
2017-08-31;265565.9
2017-07-31;266387.13
2017-06-30;263466.99
2017-05-31;278577.66
2017-04-30;289035.24
2017-03-31;287695.9
2017-02-28;278638.31
2017-01-31;274613.54
2016-12-31;273151.17
2016-11-30;279695.5
2016-10-31;285383.67
2016-09-30;283133.18
2016-08-31;288319.34
2016-07-31;292793.28
2016-06-30;291143.41
2016-05-31;289517.01
2016-04-30;290159.61
2016-03-31;283313.39
2016-02-29;287616.57
2016-01-31;280168.65
2015-12-31;275012.96
2015-11-30;278620.49
2015-10-31;281019.12
2015-09-30;279160.54
2015-08-31;281687.04
2015-07-31;287187.54
2015-06-30;286932.12
2015-05-31;291237.15
2015-04-30;292895.66
2015-03-31;296494.15
2015-02-28;301050.02
2015-01-31;297276.13
2014-12-31;286328.99
2014-11-30;283149.58
2014-10-31;287026.97
2014-09-30;271393.08
2014-08-31;269672.32
2014-07-31;269683.98
2014-06-30;268538.85
2014-05-31;268447.86
2014-04-30;266422.75
2014-03-31;255533.59
2014-02-28;249643.22
2014-01-31;240535.9
2013-12-31;236165.63
2013-11-30;248831.34
2013-10-31;243545.27
2013-09-30;236446.02
2013-08-31;235159.87
2013-07-31;236536.76
2013-06-30;233490.91
2013-05-31;231466
2013-04-30;220326.86
2013-03-31;206969.4
2013-02-28;198259.8
2013-01-31;200000.84
2012-12-31;190863.6
2012-11-30;193530.09
2012-10-31;187075.34
2012-09-30;182084.63
2012-08-31;175913.92
2012-07-31;172523.5
2012-06-30;170479.03
2012-05-31;163765.44
2012-04-30;161264.81
2012-03-31;158833.96
2012-02-29;141991.3
2012-01-31;122041.63
2011-12-31;110731.74
2011-11-30;103858.84
2011-10-31;106769.84
2011-09-30;110220.56
2011-08-31;113156.35
2011-07-31;110382.16
2011-06-30;110080.29
2011-05-31;104766.89
2011-04-30;100079.07
2011-03-31;97974.76
2011-02-28;98019.19
2011-01-31;100387.59
2010-12-31;98535.93
2010-11-30;96300.89
2010-10-31;93979.23
2010-09-30;94776.44
2010-08-31;89647.26
2010-07-31;90054.48
2010-06-30;89944.91
2010-05-31;86919.78
2010-04-30;82959.94
2010-03-31;77513.05
2010-02-28;75700.11
2010-01-31;69764.07
2009-12-31;65892.24
2009-11-30;65321.2
2009-10-31;68826.92
2009-09-30;67128.01
2009-08-31;61397.89
2009-07-31;59857.06
2009-06-30;51195.38
2009-05-31;46726.62
2009-04-30;44646.17
2009-03-31;43686.39
2009-02-28;39663.84
2009-01-31;38507.46
2008-12-31;37205.67
2008-11-30;32618.22
2008-10-31;31401.62
2008-09-30;30422.52
2008-08-31;31052.14
2008-07-31;30846.85
2008-06-30;30321.67
2008-05-31;31401.26
2008-04-30;30701.97
2008-03-31;27332.9
2008-02-29;25591.52
2008-01-31;27455.31
2007-12-31;26066.49
2007-11-30;27139.39
2007-10-31;27367.1
2007-09-30;23575.83
2007-08-31;21440.81
2007-07-31;24808.4
2007-06-30;25433.2
2007-05-31;25075.54
2007-04-30;25927.83
2007-03-31;23361.8
2007-02-28;24409.94
2007-01-31;21773.71
2006-12-31;21267.2
2006-11-30;20750.28
2006-10-31;20186.69
2006-09-30;20261.7
2006-08-31;20820.63
2006-07-31;20680.73
2006-06-30;22819.93
2006-05-31;21226.61
2006-04-30;20209.25
2006-03-31;18636.26
2006-02-28;17554.81
2006-01-31;19072.34
2005-12-31;17498.41
2005-11-30;18423.27
2005-10-31;18512.11
2005-09-30;16249.77
2005-08-31;16138.44
2005-07-31;16305.75
2005-06-30;17506.42
2005-05-31;18963.75
2005-04-30;18711.97
2005-03-31;18139.33
2005-02-28;17540.82
2005-01-31;15655.42
2004-12-31;15704.33
2004-11-30;20353.58
2004-10-31;24095.02
2004-09-30;22516.93
2004-08-31;18626.54
2004-07-31;19705.99
2004-06-30;21008.12
2004-05-31;19105.41
2004-04-30;18659.4
2004-03-31;19820.97
2004-02-29;19893.85
2004-01-31;22121.46
2003-12-31;22563.11
2003-11-30;28458.16
2003-10-31;24028.22
2003-09-30;26212.43
2003-08-31;25375.67
2003-07-31;26486.42
2003-06-30;23938.15
2003-05-31;22560.97
2003-04-30;23039.92
2003-03-31;23455.44
2003-02-28;25340.56
2003-01-31;24948.26
2002-12-31;25162.76
2002-11-30;26103.41
2002-10-31;28093.62
2002-09-30;27970.78
2002-08-31;26790.92
2002-07-31;29749.72
2002-06-30;31287.06
2002-05-31;33802.97
2002-04-30;37712.05
2002-03-31;41684.15
2002-02-28;38985.3
2002-01-31;39429.71
2001-12-31;38643.69
2001-11-30;40463.79
2001-10-31;41899.61
2001-09-30;40972.39
2001-08-31;41723.79
2001-07-31;42300.05
2001-06-30;44998.09
2001-05-31;44228.19
2001-04-30;42633.41
2001-03-31;40264.94
2001-02-28;42231.71
2001-01-31;41222.77
2000-12-31;41608.33
2000-11-30;44744.25
2000-10-31;46327.57
2000-09-30;45222.32
2000-08-31;45699.82
2000-07-31;46370.85
2000-06-30;46438.46
2000-05-31;47378.47
2000-04-30;50203.46
2000-03-31;49312.09
2000-02-29;51132.37
2000-01-31;51428.54
1999-12-31;53279.11
1999-11-30;56109.27
1999-10-31;60613.12
1999-09-30;60175.75
1999-08-31;59588.21
1999-07-31;60537.61
1999-06-30;60911.15
1999-05-31;60000.5
1999-04-30;57747.67
1999-03-31;61604.15
1999-02-28;58817.4
1999-01-31;54934.78
1998-12-31;54344.52
1998-11-30;59567.69
1998-10-31;61229.76
1998-09-30;56000.13
1998-08-31;55388.8
1998-07-31;56766.67
1998-06-30;57518.48
