Data dell'osservazione;CCT sottoscritti da società e quasi società non finanziarie (consistenze)
2026-03-31;1956
2025-12-31;2674
2025-09-30;2655
2025-06-30;2621
2025-03-31;2717
2024-12-31;2480
2024-09-30;2846
2024-06-30;3389
2024-03-31;2331
2023-12-31;2393
2023-09-30;2474
2023-06-30;2054
2023-03-31;1711
2022-12-31;1557
2022-09-30;1461
2022-06-30;1373
2022-03-31;1501
2021-12-31;918
2021-09-30;953
2021-06-30;687
2021-03-31;700
2020-12-31;609
2020-09-30;532
2020-06-30;465
2020-03-31;450
2019-12-31;436
2019-09-30;648
2019-06-30;771
2019-03-31;730
2018-12-31;629
2018-09-30;830
2018-06-30;742
2018-03-31;992
2017-12-31;983
2017-09-30;1499
2017-06-30;1565
2017-03-31;2908
2016-12-31;1492
2016-09-30;2499
2016-06-30;2655
2016-03-31;2161
2015-12-31;1044
2015-09-30;856
2015-06-30;1508
2015-03-31;1579
2014-12-31;1681
2014-09-30;2261
2014-06-30;2411
2014-03-31;1912
2013-12-31;4613
2013-09-30;1579
2013-06-30;2485
2013-03-31;1954
2012-12-31;1264
2012-09-30;1530
2012-06-30;1360
2012-03-31;1788
2011-12-31;3139
2011-09-30;2981
2011-06-30;3718
2011-03-31;3058
2010-12-31;2401
2010-09-30;2154
2010-06-30;1895
2010-03-31;2486
2009-12-31;3632
2009-09-30;3264
2009-06-30;4383
2009-03-31;3780
2008-12-31;4097
2008-09-30;3496
2008-06-30;3747
2008-03-31;4246
2007-12-31;4573
2007-09-30;4303
2007-06-30;4415
2007-03-31;4260
2006-12-31;3963
2006-09-30;3352
2006-06-30;1193
2006-03-31;1580
2005-12-31;2353
2005-09-30;2140
2005-06-30;1974
2005-03-31;2360
2004-12-31;2334
2004-09-30;2157
2004-06-30;2068
2004-03-31;2459
2003-12-31;2213
2003-09-30;2582
2003-06-30;2701
2003-03-31;3735
2002-12-31;4290
2002-09-30;6425
2002-06-30;6124
2002-03-31;6631
2001-12-31;6436
2001-09-30;7147
2001-06-30;5740
2001-03-31;6109
2000-12-31;6160
2000-09-30;5900
2000-06-30;5448
2000-03-31;5317
1999-12-31;5300
1999-09-30;5612
1999-06-30;5032
1999-03-31;5274
1998-12-31;7466
1998-09-30;8832
1998-06-30;9182
1998-03-31;8865
1997-12-31;9776
1997-09-30;10070
1997-06-30;9848
1997-03-31;10059
1996-12-31;10297
1996-09-30;12232
1996-06-30;13091
1996-03-31;12831
1995-12-31;14273
1995-09-30;14071
1995-06-30;15114
1995-03-31;15683
