Data dell'osservazione;CCT detenuti da Imprese di assicurazioni (consistenze)
2026-03-31;2301
2025-12-31;2354
2025-09-30;2443
2025-06-30;2311
2025-03-31;3294
2024-12-31;4396
2024-09-30;5452
2024-06-30;5181
2024-03-31;5062
2023-12-31;5335
2023-09-30;5370
2023-06-30;5703
2023-03-31;5888
2022-12-31;6140
2022-09-30;9521
2022-06-30;9799
2022-03-31;10723
2021-12-31;10691
2021-09-30;10958
2021-06-30;10504
2021-03-31;10678
2020-12-31;10508
2020-09-30;10201
2020-06-30;10714
2020-03-31;11289
2019-12-31;11644
2019-09-30;11816
2019-06-30;12468
2019-03-31;13652
2018-12-31;13862
2018-09-30;14550
2018-06-30;15211
2018-03-31;17661
2017-12-31;18680
2017-09-30;17517
2017-06-30;17147
2017-03-31;17633
2016-12-31;18497
2016-09-30;17110
2016-06-30;17673
2016-03-31;18474
2015-12-31;15297
2015-09-30;17377
2015-06-30;16197
2015-03-31;16389
2014-12-31;14279
2014-09-30;14303
2014-06-30;13636
2014-03-31;13094
2013-12-31;13180
2013-09-30;13911
2013-06-30;14134
2013-03-31;14506
2012-12-31;20617
2012-09-30;24685
2012-06-30;24341
2012-03-31;23919
2011-12-31;18224
2011-09-30;24729
2011-06-30;25722
2011-03-31;26911
2010-12-31;22420
2010-09-30;26543
2010-06-30;25563
2010-03-31;26952
2009-12-31;19941
2009-09-30;27467
2009-06-30;26988
2009-03-31;24046
2008-12-31;21751
2008-09-30;25980
2008-06-30;25843
2008-03-31;26626
2007-12-31;26849
2007-09-30;29066
2007-06-30;27262
2007-03-31;27449
2006-12-31;31448
2006-09-30;31466
2006-06-30;30115
2006-03-31;31431
2005-12-31;32489
2005-09-30;34916
2005-06-30;37015
2005-03-31;38787
2004-12-31;41283
2004-09-30;38605
2004-06-30;35833
2004-03-31;39984
2003-12-31;36773
2003-09-30;35827
2003-06-30;35959
2003-03-31;34868
2002-12-31;32755
2002-09-30;28469
2002-06-30;23644
2002-03-31;24424
2001-12-31;20174
2001-09-30;19353
2001-06-30;19511
2001-03-31;20871
2000-12-31;21499
2000-09-30;21042
2000-06-30;20098
2000-03-31;18296
1999-12-31;17189
1999-09-30;16176
1999-06-30;16138
1999-03-31;17918
1998-12-31;18705
1998-09-30;19672
1998-06-30;19712
1998-03-31;18705
1997-12-31;18948
1997-09-30;20550
1997-06-30;23193
1997-03-31;23497
1996-12-31;24759
1996-09-30;24915
1996-06-30;25721
1996-03-31;24990
1995-12-31;22369
1995-09-30;21240
1995-06-30;19738
1995-03-31;16901
