Data dell'osservazione;CCT detenuti da Fondi comuni (consistenze)
2026-03-31;1113
2025-12-31;831
2025-09-30;768
2025-06-30;880
2025-03-31;570
2024-12-31;919
2024-09-30;733
2024-06-30;634
2024-03-31;674
2023-12-31;517
2023-09-30;385
2023-06-30;575
2023-03-31;472
2022-12-31;448
2022-09-30;675
2022-06-30;811
2022-03-31;1422
2021-12-31;1334
2021-09-30;1254
2021-06-30;1187
2021-03-31;909
2020-12-31;876
2020-09-30;1097
2020-06-30;1072
2020-03-31;1278
2019-12-31;1245
2019-09-30;1687
2019-06-30;1988
2019-03-31;2146
2018-12-31;1881
2018-09-30;2706
2018-06-30;3068
2018-03-31;4204
2017-12-31;4072
2017-09-30;2879
2017-06-30;2775
2017-03-31;1896
2016-12-31;2304
2016-09-30;2023
2016-06-30;1418
2016-03-31;1534
2015-12-31;1967
2015-09-30;3098
2015-06-30;4281
2015-03-31;3695
2014-12-31;2864
2014-09-30;2977
2014-06-30;1491
2014-03-31;3166
2013-12-31;4129
2013-09-30;3832
2013-06-30;4294
2013-03-31;2992
2012-12-31;3746
2012-09-30;4024
2012-06-30;5374
2012-03-31;6558
2011-12-31;5573
2011-09-30;5318
2011-06-30;5947
2011-03-31;7820
2010-12-31;7484
2010-09-30;6738
2010-06-30;7373
2010-03-31;6721
2009-12-31;7742
2009-09-30;7514
2009-06-30;4123
2009-03-31;3460
2008-12-31;3829
2008-09-30;6590
2008-06-30;5822
2008-03-31;6136
2007-12-31;4433
2007-09-30;5680
2007-06-30;7369
2007-03-31;9470
2006-12-31;9120
2006-09-30;11389
2006-06-30;12451
2006-03-31;12120
2005-12-31;15505
2005-09-30;16828
2005-06-30;16579
2005-03-31;14951
2004-12-31;13931
2004-09-30;15286
2004-06-30;13991
2004-03-31;15046
2003-12-31;15328
2003-09-30;19182
2003-06-30;18562
2003-03-31;15695
2002-12-31;28397
2002-09-30;29123
2002-06-30;27343
2002-03-31;24768
2001-12-31;23494
2001-09-30;24914
2001-06-30;22572
2001-03-31;23660
2000-12-31;24727
2000-09-30;27264
2000-06-30;28610
2000-03-31;33765
1999-12-31;36372
1999-09-30;43465
1999-06-30;45778
1999-03-31;39977
1998-12-31;39352
1998-09-30;36895
1998-06-30;31013
1998-03-31;23086
1997-12-31;21521
1997-09-30;16207
1997-06-30;14843
1997-03-31;16448
1996-12-31;18116
1996-09-30;17342
1996-06-30;16554
1996-03-31;14249
1995-12-31;14043
1995-09-30;13001
1995-06-30;13545
1995-03-31;12887
