Data dell'osservazione;CCT detenuti da Altri intermediari finanziari esclusi i fondi comuni (consistenze)
2026-03-31;252
2025-12-31;288
2025-09-30;292
2025-06-30;242
2025-03-31;261
2024-12-31;233
2024-09-30;274
2024-06-30;366
2024-03-31;263
2023-12-31;186
2023-09-30;191
2023-06-30;196
2023-03-31;137
2022-12-31;114
2022-09-30;82
2022-06-30;76
2022-03-31;84
2021-12-31;76
2021-09-30;60
2021-06-30;64
2021-03-31;68
2020-12-31;60
2020-09-30;55
2020-06-30;47
2020-03-31;35
2019-12-31;48
2019-09-30;78
2019-06-30;107
2019-03-31;92
2018-12-31;94
2018-09-30;147
2018-06-30;97
2018-03-31;122
2017-12-31;147
2017-09-30;161
2017-06-30;170
2017-03-31;349
2016-12-31;175
2016-09-30;313
2016-06-30;311
2016-03-31;340
2015-12-31;94
2015-09-30;91
2015-06-30;220
2015-03-31;143
2014-12-31;238
2014-09-30;548
2014-06-30;663
2014-03-31;487
2013-12-31;1027
2013-09-30;233
2013-06-30;406
2013-03-31;224
2012-12-31;103
2012-09-30;223
2012-06-30;427
2012-03-31;648
2011-12-31;2184
2011-09-30;4625
2011-06-30;5737
2011-03-31;7299
2010-12-31;7309
2010-09-30;6166
2010-06-30;4221
2010-03-31;1819
2009-12-31;2019
2009-09-30;3120
2009-06-30;3128
2009-03-31;2532
2008-12-31;3047
2008-09-30;3003
2008-06-30;2294
2008-03-31;2713
2007-12-31;2579
2007-09-30;2794
2007-06-30;2533
2007-03-31;2274
2006-12-31;2132
2006-09-30;1978
2006-06-30;973
2006-03-31;1482
2005-12-31;3256
2005-09-30;2911
2005-06-30;3609
2005-03-31;4246
2004-12-31;4233
2004-09-30;2204
2004-06-30;2015
2004-03-31;2385
2003-12-31;2492
2003-09-30;3246
2003-06-30;3571
2003-03-31;3337
2002-12-31;3595
2002-09-30;4943
2002-06-30;5272
2002-03-31;5505
2001-12-31;6537
2001-09-30;4098
2001-06-30;4660
2001-03-31;4024
2000-12-31;3560
2000-09-30;4136
2000-06-30;2978
2000-03-31;3065
1999-12-31;2937
1999-09-30;3213
1999-06-30;3211
1999-03-31;3914
1998-12-31;4072
1998-09-30;5605
1998-06-30;4669
1998-03-31;4884
1997-12-31;5045
1997-09-30;6378
1997-06-30;5700
1997-03-31;5057
1996-12-31;4773
1996-09-30;4778
1996-06-30;5158
1996-03-31;6156
1995-12-31;5946
1995-09-30;5190
1995-06-30;6996
1995-03-31;7611
