Data dell'osservazione;CCT detenuti da Istituzioni finanziarie monetarie esclusa la Banca Centrale (consistenze)
2026-03-31;88481
2025-12-31;89909
2025-09-30;80649
2025-06-30;81571
2025-03-31;85232
2024-12-31;84770
2024-09-30;83845
2024-06-30;78100
2024-03-31;79573
2023-12-31;84693
2023-09-30;85327
2023-06-30;88533
2023-03-31;85676
2022-12-31;80605
2022-09-30;80314
2022-06-30;79937
2022-03-31;83393
2021-12-31;80504
2021-09-30;79448
2021-06-30;72996
2021-03-31;67629
2020-12-31;66741
2020-09-30;70162
2020-06-30;67775
2020-03-31;63399
2019-12-31;59371
2019-09-30;66741
2019-06-30;61349
2019-03-31;59123
2018-12-31;54998
2018-09-30;57533
2018-06-30;56917
2018-03-31;55552
2017-12-31;50986
2017-09-30;61139
2017-06-30;59480
2017-03-31;60606
2016-12-31;58649
2016-09-30;57816
2016-06-30;62549
2016-03-31;60952
2015-12-31;63362
2015-09-30;67756
2015-06-30;67614
2015-03-31;66209
2014-12-31;64696
2014-09-30;66128
2014-06-30;63985
2014-03-31;60407
2013-12-31;62206
2013-09-30;61400
2013-06-30;65252
2013-03-31;57737
2012-12-31;52989
2012-09-30;54336
2012-06-30;50895
2012-03-31;48926
2011-12-31;45876
2011-09-30;54034
2011-06-30;54137
2011-03-31;53092
2010-12-31;55729
2010-09-30;57797
2010-06-30;57404
2010-03-31;54832
2009-12-31;55361
2009-09-30;57868
2009-06-30;63043
2009-03-31;64719
2008-12-31;63158
2008-09-30;63373
2008-06-30;64073
2008-03-31;65936
2007-12-31;61148
2007-09-30;58168
2007-06-30;64136
2007-03-31;63478
2006-12-31;60946
2006-09-30;65307
2006-06-30;62034
2006-03-31;60605
2005-12-31;66212
2005-09-30;69539
2005-06-30;68153
2005-03-31;65562
2004-12-31;62662
2004-09-30;63471
2004-06-30;63213
2004-03-31;61666
2003-12-31;63504
2003-09-30;64247
2003-06-30;67792
2003-03-31;66127
2002-12-31;54086
2002-09-30;61686
2002-06-30;62864
2002-03-31;66497
2001-12-31;66662
2001-09-30;69635
2001-06-30;69212
2001-03-31;72395
2000-12-31;70699
2000-09-30;71698
2000-06-30;73732
2000-03-31;75207
1999-12-31;80563
1999-09-30;81404
1999-06-30;80612
1999-03-31;86885
1998-12-31;73886
1998-09-30;80088
1998-06-30;79977
1998-03-31;85413
1997-12-31;88023
1997-09-30;89583
1997-06-30;84716
1997-03-31;87158
1996-12-31;83938
1996-09-30;80271
1996-06-30;79477
1996-03-31;78788
1995-12-31;73781
1995-09-30;73614
1995-06-30;72473
1995-03-31;76926
