Data dell'osservazione;Altri titoli di amm cen detenuti da famiglie e ist. senza scopo di lucro al servizio delle famiglie (consistenze)
2026-03-31;321182
2025-12-31;311110
2025-09-30;297159
2025-06-30;292483
2025-03-31;287336
2024-12-31;272908
2024-09-30;278263
2024-06-30;271536
2024-03-31;261752
2023-12-31;237405
2023-09-30;207653
2023-06-30;198757
2023-03-31;170409
2022-12-31;142472
2022-09-30;121650
2022-06-30;121597
2022-03-31;115075
2021-12-31;119076
2021-09-30;119960
2021-06-30;125761
2021-03-31;124514
2020-12-31;130223
2020-09-30;131335
2020-06-30;129648
2020-03-31;118178
2019-12-31;124299
2019-09-30;128933
2019-06-30;137671
2019-03-31;136726
2018-12-31;138760
2018-09-30;126901
2018-06-30;126199
2018-03-31;128316
2017-12-31;128753
2017-09-30;133599
2017-06-30;134329
2017-03-31;137412
2016-12-31;142122
2016-09-30;153655
2016-06-30;159982
2016-03-31;167439
2015-12-31;166690
2015-09-30;170097
2015-06-30;165621
2015-03-31;186896
2014-12-31;191294
2014-09-30;192870
2014-06-30;200105
2014-03-31;195125
2013-12-31;187816
2013-09-30;177357
2013-06-30;177098
2013-03-31;173967
2012-12-31;179304
2012-09-30;178467
2012-06-30;168039
2012-03-31;173312
2011-12-31;155305
2011-09-30;116250
2011-06-30;106673
2011-03-31;102635
2010-12-31;123693
2010-09-30;149752
2010-06-30;137543
2010-03-31;146015
2009-12-31;135380
2009-09-30;137724
2009-06-30;125216
2009-03-31;137937
2008-12-31;137867
2008-09-30;104125
2008-06-30;80600
2008-03-31;103128
2007-12-31;138054
2007-09-30;139785
2007-06-30;121219
2007-03-31;141936
2006-12-31;154842
2006-09-30;155162
2006-06-30;129377
2006-03-31;167213
2005-12-31;219341
2005-09-30;237613
2005-06-30;255716
2005-03-31;243062
2004-12-31;240850
2004-09-30;237983
2004-06-30;226121
2004-03-31;233840
2003-12-31;194210
2003-09-30;205912
2003-06-30;208281
2003-03-31;207621
2002-12-31;197917
2002-09-30;177511
2002-06-30;152244
2002-03-31;135793
2001-12-31;135712
2001-09-30;136604
2001-06-30;125158
2001-03-31;120448
2000-12-31;103396
2000-09-30;95885
2000-06-30;92909
2000-03-31;95188
1999-12-31;91173
1999-09-30;106320
1999-06-30;122701
1999-03-31;129904
1998-12-31;153970
1998-09-30;154646
1998-06-30;167703
1998-03-31;165653
1997-12-31;133717
1997-09-30;141520
1997-06-30;136790
1997-03-31;109183
1996-12-31;112823
1996-09-30;109758
1996-06-30;109382
1996-03-31;93625
1995-12-31;87122
1995-09-30;52071
1995-06-30;48125
1995-03-31;32720
