Data dell'osservazione;Altri titoli a medio/lungo emessi da Amministrazioni Centrali detenuti da Imprese di assicurazioni (consistenze)
2026-03-31;217795
2025-12-31;226365
2025-09-30;227701
2025-06-30;228035
2025-03-31;221601
2024-12-31;228420
2024-09-30;230272
2024-06-30;220143
2024-03-31;223988
2023-12-31;224665
2023-09-30;214369
2023-06-30;230218
2023-03-31;234667
2022-12-31;228297
2022-09-30;237067
2022-06-30;257601
2022-03-31;286408
2021-12-31;302275
2021-09-30;308315
2021-06-30;316295
2021-03-31;322240
2020-12-31;325874
2020-09-30;317518
2020-06-30;311234
2020-03-31;307864
2019-12-31;314221
2019-09-30;326653
2019-06-30;301671
2019-03-31;291933
2018-12-31;284549
2018-09-30;277753
2018-06-30;285690
2018-03-31;300867
2017-12-31;296298
2017-09-30;298189
2017-06-30;301913
2017-03-31;302402
2016-12-31;313936
2016-09-30;318944
2016-06-30;316832
2016-03-31;316265
2015-12-31;320975
2015-09-30;321888
2015-06-30;304332
2015-03-31;317462
2014-12-31;303890
2014-09-30;301480
2014-06-30;296216
2014-03-31;291723
2013-12-31;257273
2013-09-30;222706
2013-06-30;227500
2013-03-31;223379
2012-12-31;187774
2012-09-30;182030
2012-06-30;173905
2012-03-31;184122
2011-12-31;145050
2011-09-30;152340
2011-06-30;161376
2011-03-31;162921
2010-12-31;127831
2010-09-30;137064
2010-06-30;135821
2010-03-31;137655
2009-12-31;119420
2009-09-30;119821
2009-06-30;106297
2009-03-31;106012
2008-12-31;95345
2008-09-30;93881
2008-06-30;91852
2008-03-31;95024
2007-12-31;98057
2007-09-30;100434
2007-06-30;101986
2007-03-31;97527
2006-12-31;99530
2006-09-30;106917
2006-06-30;107334
2006-03-31;104731
2005-12-31;103182
2005-09-30;97820
2005-06-30;92029
2005-03-31;88815
2004-12-31;93060
2004-09-30;92750
2004-06-30;84070
2004-03-31;85857
2003-12-31;86644
2003-09-30;90569
2003-06-30;87854
2003-03-31;89540
2002-12-31;90316
2002-09-30;94343
2002-06-30;93798
2002-03-31;101420
2001-12-31;85480
2001-09-30;75861
2001-06-30;74749
2001-03-31;75414
2000-12-31;70426
2000-09-30;71989
2000-06-30;78186
2000-03-31;76877
1999-12-31;66800
1999-09-30;65500
1999-06-30;65703
1999-03-31;66373
1998-12-31;64441
1998-09-30;59725
1998-06-30;56059
1998-03-31;53357
1997-12-31;49073
1997-09-30;45485
1997-06-30;40953
1997-03-31;37833
1996-12-31;33625
1996-09-30;30422
1996-06-30;27687
1996-03-31;25852
1995-12-31;22931
1995-09-30;21286
1995-06-30;18556
1995-03-31;16125
