Data dell'osservazione;Altri titoli a medio/lungo emessi da Amministrazioni Centrali detenuti da Istituzioni finanziarie monetarie esclusa la Banca Centrale (consistenze)
2026-03-31;307206
2025-12-31;299128
2025-09-30;296630
2025-06-30;292542
2025-03-31;284842
2024-12-31;265369
2024-09-30;267521
2024-06-30;261553
2024-03-31;256576
2023-12-31;263678
2023-09-30;267516
2023-06-30;277607
2023-03-31;295853
2022-12-31;286066
2022-09-30;296647
2022-06-30;325181
2022-03-31;334390
2021-12-31;316551
2021-09-30;329448
2021-06-30;332886
2021-03-31;340520
2020-12-31;336198
2020-09-30;361619
2020-06-30;350436
2020-03-31;318834
2019-12-31;302764
2019-09-30;319181
2019-06-30;312858
2019-03-31;306349
2018-12-31;296386
2018-09-30;287535
2018-06-30;296219
2018-03-31;272649
2017-12-31;262509
2017-09-30;289836
2017-06-30;294196
2017-03-31;317710
2016-12-31;302952
2016-09-30;312857
2016-06-30;326901
2016-03-31;321893
2015-12-31;309846
2015-09-30;318899
2015-06-30;319621
2015-03-31;338987
2014-12-31;322466
2014-09-30;312066
2014-06-30;314933
2014-03-31;306731
2013-12-31;294022
2013-09-30;291820
2013-06-30;283068
2013-03-31;256823
2012-12-31;228960
2012-09-30;220246
2012-06-30;207325
2012-03-31;193297
2011-12-31;139575
2011-09-30;135587
2011-06-30;138295
2011-03-31;128749
2010-12-31;132671
2010-09-30;127470
2010-06-30;130475
2010-03-31;113693
2009-12-31;99655
2009-09-30;106898
2009-06-30;88991
2009-03-31;84074
2008-12-31;70618
2008-09-30;65605
2008-06-30;60706
2008-03-31;60605
2007-12-31;56819
2007-09-30;52610
2007-06-30;56977
2007-03-31;55262
2006-12-31;48247
2006-09-30;44220
2006-06-30;45530
2006-03-31;44979
2005-12-31;41390
2005-09-30;38153
2005-06-30;43498
2005-03-31;44194
2004-12-31;36769
2004-09-30;44419
2004-06-30;44427
2004-03-31;42788
2003-12-31;48682
2003-09-30;62699
2003-06-30;60984
2003-03-31;62804
2002-12-31;57062
2002-09-30;57767
2002-06-30;61460
2002-03-31;70833
2001-12-31;66175
2001-09-30;69371
2001-06-30;73593
2001-03-31;69369
2000-12-31;72350
2000-09-30;76933
2000-06-30;81189
2000-03-31;82379
1999-12-31;85470
1999-09-30;92002
1999-06-30;93288
1999-03-31;92972
1998-12-31;77311
1998-09-30;97263
1998-06-30;78598
1998-03-31;75486
1997-12-31;69474
1997-09-30;72205
1997-06-30;78009
1997-03-31;78545
1996-12-31;73434
1996-09-30;75216
1996-06-30;73318
1996-03-31;76170
1995-12-31;71006
1995-09-30;73256
1995-06-30;72700
1995-03-31;74177
