Data dell'osservazione;Altri titoli di amm cen detenuti da società e quasi società non finanziarie (consistenze)
2026-03-31;59530
2025-12-31;59069
2025-09-30;57689
2025-06-30;56887
2025-03-31;53654
2024-12-31;49675
2024-09-30;46407
2024-06-30;46389
2024-03-31;46653
2023-12-31;42998
2023-09-30;40175
2023-06-30;39661
2023-03-31;38290
2022-12-31;34258
2022-09-30;33862
2022-06-30;36122
2022-03-31;38840
2021-12-31;35250
2021-09-30;41957
2021-06-30;45842
2021-03-31;47549
2020-12-31;46144
2020-09-30;42933
2020-06-30;38707
2020-03-31;36943
2019-12-31;36284
2019-09-30;36671
2019-06-30;33285
2019-03-31;34090
2018-12-31;43816
2018-09-30;44352
2018-06-30;45319
2018-03-31;49336
2017-12-31;52104
2017-09-30;55521
2017-06-30;54411
2017-03-31;50900
2016-12-31;53712
2016-09-30;54013
2016-06-30;52837
2016-03-31;51529
2015-12-31;50900
2015-09-30;50270
2015-06-30;49089
2015-03-31;52845
2014-12-31;50789
2014-09-30;48210
2014-06-30;48471
2014-03-31;48027
2013-12-31;45613
2013-09-30;44875
2013-06-30;45227
2013-03-31;44100
2012-12-31;42389
2012-09-30;40813
2012-06-30;39012
2012-03-31;37979
2011-12-31;32022
2011-09-30;37614
2011-06-30;50821
2011-03-31;48832
2010-12-31;44352
2010-09-30;46246
2010-06-30;37605
2010-03-31;37188
2009-12-31;29006
2009-09-30;34757
2009-06-30;27648
2009-03-31;29519
2008-12-31;26493
2008-09-30;22586
2008-06-30;18034
2008-03-31;26816
2007-12-31;24488
2007-09-30;25082
2007-06-30;15957
2007-03-31;8406
2006-12-31;5026
2006-09-30;6069
2006-06-30;5502
2006-03-31;6459
2005-12-31;7904
2005-09-30;8323
2005-06-30;9503
2005-03-31;8592
2004-12-31;9401
2004-09-30;7803
2004-06-30;7831
2004-03-31;8329
2003-12-31;6210
2003-09-30;7750
2003-06-30;12884
2003-03-31;12526
2002-12-31;11016
2002-09-30;11754
2002-06-30;9592
2002-03-31;8242
2001-12-31;6807
2001-09-30;6391
2001-06-30;6210
2001-03-31;5718
2000-12-31;5537
2000-09-30;5510
2000-06-30;5972
2000-03-31;6913
1999-12-31;6290
1999-09-30;7835
1999-06-30;8636
1999-03-31;10252
1998-12-31;9084
1998-09-30;8034
1998-06-30;8341
1998-03-31;8023
1997-12-31;6713
1997-09-30;6997
1997-06-30;7083
1997-03-31;6566
1996-12-31;6201
1996-09-30;6241
1996-06-30;6085
1996-03-31;4904
1995-12-31;4881
1995-09-30;3051
1995-06-30;2765
1995-03-31;1974
