"As Of Date","Time Series","Value (millions)"
"2022-01-05","PDPOSTIPS-G11","-39"
"2022-01-05","PDPOSTIPS-G2","2644"
"2022-01-05","PDPOSTIPS-G6L11","50"
"2022-01-05","PDPOSTIPS-L2","2762"
"2022-01-12","PDPOSTIPS-G11","-114"
"2022-01-12","PDPOSTIPS-G2","1914"
"2022-01-12","PDPOSTIPS-G6L11","800"
"2022-01-12","PDPOSTIPS-L2","1661"
"2022-01-19","PDPOSTIPS-G11","61"
"2022-01-19","PDPOSTIPS-G2","1006"
"2022-01-19","PDPOSTIPS-G6L11","306"
"2022-01-19","PDPOSTIPS-L2","636"
"2022-01-26","PDPOSTIPS-G11","399"
"2022-01-26","PDPOSTIPS-G2","1854"
"2022-01-26","PDPOSTIPS-G6L11","600"
"2022-01-26","PDPOSTIPS-L2","2015"
"2022-02-02","PDPOSTIPS-G11","-61"
"2022-02-02","PDPOSTIPS-G2","2394"
"2022-02-02","PDPOSTIPS-G6L11","-2452"
"2022-02-02","PDPOSTIPS-L2","5380"
"2022-02-09","PDPOSTIPS-G11","-137"
"2022-02-09","PDPOSTIPS-G2","2635"
"2022-02-09","PDPOSTIPS-G6L11","-1533"
"2022-02-09","PDPOSTIPS-L2","4421"
"2022-02-16","PDPOSTIPS-G11","-464"
"2022-02-16","PDPOSTIPS-G2","4622"
"2022-02-16","PDPOSTIPS-G6L11","-376"
"2022-02-16","PDPOSTIPS-L2","5187"
"2022-02-23","PDPOSTIPS-G11","-144"
"2022-02-23","PDPOSTIPS-G2","3514"
"2022-02-23","PDPOSTIPS-G6L11","-581"
"2022-02-23","PDPOSTIPS-L2","4110"
"2022-03-02","PDPOSTIPS-G11","-210"
"2022-03-02","PDPOSTIPS-G2","5425"
"2022-03-02","PDPOSTIPS-G6L11","737"
"2022-03-02","PDPOSTIPS-L2","5832"
"2022-03-09","PDPOSTIPS-G11","-110"
"2022-03-09","PDPOSTIPS-G2","4144"
"2022-03-09","PDPOSTIPS-G6L11","389"
"2022-03-09","PDPOSTIPS-L2","5820"
"2022-03-16","PDPOSTIPS-G11","140"
"2022-03-16","PDPOSTIPS-G2","2931"
"2022-03-16","PDPOSTIPS-G6L11","95"
"2022-03-16","PDPOSTIPS-L2","5819"
"2022-03-23","PDPOSTIPS-G11","296"
"2022-03-23","PDPOSTIPS-G2","1770"
"2022-03-23","PDPOSTIPS-G6L11","389"
"2022-03-23","PDPOSTIPS-L2","5543"
"2022-03-30","PDPOSTIPS-G11","320"
"2022-03-30","PDPOSTIPS-G2","1607"
"2022-03-30","PDPOSTIPS-G6L11","1342"
"2022-03-30","PDPOSTIPS-L2","3757"
"2022-04-06","PDPOSTIPS-G11","-106"
"2022-04-06","PDPOSTIPS-G2","3659"
"2022-04-06","PDPOSTIPS-G6L11","854"
"2022-04-06","PDPOSTIPS-L2","3483"
"2022-04-13","PDPOSTIPS-G11","-125"
"2022-04-13","PDPOSTIPS-G2","5232"
"2022-04-13","PDPOSTIPS-G6L11","688"
"2022-04-13","PDPOSTIPS-L2","3809"
"2022-04-20","PDPOSTIPS-G11","149"
"2022-04-20","PDPOSTIPS-G2","3447"
"2022-04-20","PDPOSTIPS-G6L11","154"
"2022-04-20","PDPOSTIPS-L2","1297"
"2022-04-27","PDPOSTIPS-G11","440"
"2022-04-27","PDPOSTIPS-G2","2900"
"2022-04-27","PDPOSTIPS-G6L11","969"
"2022-04-27","PDPOSTIPS-L2","1246"
"2022-05-04","PDPOSTIPS-G11","-40"
"2022-05-04","PDPOSTIPS-G2","2958"
"2022-05-04","PDPOSTIPS-G6L11","1981"
"2022-05-04","PDPOSTIPS-L2","2743"
"2022-05-11","PDPOSTIPS-G11","-198"
"2022-05-11","PDPOSTIPS-G2","2284"
"2022-05-11","PDPOSTIPS-G6L11","2708"
"2022-05-11","PDPOSTIPS-L2","2942"
"2022-05-18","PDPOSTIPS-G11","-347"
"2022-05-18","PDPOSTIPS-G2","2667"
"2022-05-18","PDPOSTIPS-G6L11","2437"
"2022-05-18","PDPOSTIPS-L2","2800"
"2022-05-25","PDPOSTIPS-G11","122"
"2022-05-25","PDPOSTIPS-G2","2338"
"2022-05-25","PDPOSTIPS-G6L11","2905"
"2022-05-25","PDPOSTIPS-L2","3516"
"2022-06-01","PDPOSTIPS-G11","210"
"2022-06-01","PDPOSTIPS-G2","4356"
"2022-06-01","PDPOSTIPS-G6L11","2311"
"2022-06-01","PDPOSTIPS-L2","3809"
"2022-06-08","PDPOSTIPS-G11","-158"
"2022-06-08","PDPOSTIPS-G2","4500"
"2022-06-08","PDPOSTIPS-G6L11","2608"
"2022-06-08","PDPOSTIPS-L2","3107"
"2022-06-15","PDPOSTIPS-G11","-215"
"2022-06-15","PDPOSTIPS-G2","5200"
"2022-06-15","PDPOSTIPS-G6L11","2791"
"2022-06-15","PDPOSTIPS-L2","4604"
"2022-06-22","PDPOSTIPS-G11","-340"
"2022-06-22","PDPOSTIPS-G2","4928"
