"As Of Date","Time Series","Value (millions)"
"1998-01-28","PDPUSGTIISNOP","1792"
"1998-02-04","PDPUSGTIISNOP","1639"
"1998-02-11","PDPUSGTIISNOP","1506"
"1998-02-18","PDPUSGTIISNOP","1359"
"1998-02-25","PDPUSGTIISNOP","1457"
"1998-03-04","PDPUSGTIISNOP","1004"
"1998-03-11","PDPUSGTIISNOP","958"
"1998-03-18","PDPUSGTIISNOP","1164"
"1998-03-25","PDPUSGTIISNOP","1232"
"1998-04-01","PDPUSGTIISNOP","1097"
"1998-04-08","PDPUSGTIISNOP","2536"
"1998-04-15","PDPUSGTIISNOP","2132"
"1998-04-22","PDPUSGTIISNOP","1592"
"1998-04-29","PDPUSGTIISNOP","2092"
"1998-05-06","PDPUSGTIISNOP","2176"
"1998-05-13","PDPUSGTIISNOP","2098"
"1998-05-20","PDPUSGTIISNOP","2132"
"1998-05-27","PDPUSGTIISNOP","1775"
"1998-06-03","PDPUSGTIISNOP","1481"
"1998-06-10","PDPUSGTIISNOP","1343"
"1998-06-17","PDPUSGTIISNOP","1167"
"1998-06-24","PDPUSGTIISNOP","1179"
"1998-07-01","PDPUSGTIISNOP","1486"
"1998-07-08","PDPUSGTIISNOP","2710"
"1998-07-15","PDPUSGTIISNOP","3005"
"1998-07-22","PDPUSGTIISNOP","2597"
"1998-07-29","PDPUSGTIISNOP","2525"
"1998-08-05","PDPUSGTIISNOP","2725"
"1998-08-12","PDPUSGTIISNOP","2603"
"1998-08-19","PDPUSGTIISNOP","2187"
"1998-08-26","PDPUSGTIISNOP","2196"
"1998-09-02","PDPUSGTIISNOP","1786"
"1998-09-09","PDPUSGTIISNOP","1883"
"1998-09-16","PDPUSGTIISNOP","1536"
"1998-09-23","PDPUSGTIISNOP","1327"
"1998-09-30","PDPUSGTIISNOP","1403"
"1998-10-07","PDPUSGTIISNOP","3442"
"1998-10-14","PDPUSGTIISNOP","2895"
"1998-10-21","PDPUSGTIISNOP","2397"
"1998-10-28","PDPUSGTIISNOP","2225"
"1998-11-04","PDPUSGTIISNOP","2381"
"1998-11-11","PDPUSGTIISNOP","2153"
"1998-11-18","PDPUSGTIISNOP","1703"
"1998-11-25","PDPUSGTIISNOP","1406"
"1998-12-02","PDPUSGTIISNOP","1517"
"1998-12-09","PDPUSGTIISNOP","1241"
"1998-12-16","PDPUSGTIISNOP","1089"
"1998-12-23","PDPUSGTIISNOP","1104"
"1998-12-30","PDPUSGTIISNOP","1099"
"1999-01-06","PDPUSGTIISNOP","1999"
"1999-01-13","PDPUSGTIISNOP","2020"
"1999-01-20","PDPUSGTIISNOP","2015"
"1999-01-27","PDPUSGTIISNOP","1923"
"1999-02-03","PDPUSGTIISNOP","1869"
"1999-02-10","PDPUSGTIISNOP","1900"
"1999-02-17","PDPUSGTIISNOP","1980"
"1999-02-24","PDPUSGTIISNOP","1811"
"1999-03-03","PDPUSGTIISNOP","2157"
"1999-03-10","PDPUSGTIISNOP","2160"
"1999-03-17","PDPUSGTIISNOP","1849"
"1999-03-24","PDPUSGTIISNOP","1754"
"1999-03-31","PDPUSGTIISNOP","1487"
"1999-04-07","PDPUSGTIISNOP","2527"
"1999-04-14","PDPUSGTIISNOP","2473"
"1999-04-21","PDPUSGTIISNOP","2763"
"1999-04-28","PDPUSGTIISNOP","2774"
"1999-05-05","PDPUSGTIISNOP","2387"
"1999-05-12","PDPUSGTIISNOP","2328"
"1999-05-19","PDPUSGTIISNOP","2831"
"1999-05-26","PDPUSGTIISNOP","2681"
"1999-06-02","PDPUSGTIISNOP","2282"
"1999-06-09","PDPUSGTIISNOP","2291"
"1999-06-16","PDPUSGTIISNOP","2211"
"1999-06-23","PDPUSGTIISNOP","1870"
"1999-06-30","PDPUSGTIISNOP","1701"
"1999-07-07","PDPUSGTIISNOP","3250"
"1999-07-14","PDPUSGTIISNOP","3051"
"1999-07-21","PDPUSGTIISNOP","2983"
"1999-07-28","PDPUSGTIISNOP","3570"
"1999-08-04","PDPUSGTIISNOP","3095"
"1999-08-11","PDPUSGTIISNOP","3328"
"1999-08-18","PDPUSGTIISNOP","3286"
"1999-08-25","PDPUSGTIISNOP","3306"
