date,FPF-BORROW_OTHERSECURED_SUM,FPF-BORROW_PRIMEBROKER_SUM,FPF-BORROW_REPO_SUM
,Qualifying Hedge Funds: other secured borrowing (U.S. dollars),Qualifying Hedge Funds: prime brokerage borrowing (U.S. dollars),Qualifying Hedge Funds: repo borrowing (U.S. dollars)
2013-03-31,217000000000.0,795000000000.0,591000000000.0
2013-06-30,225000000000.0,836000000000.0,696000000000.0
2013-09-30,256000000000.0,844000000000.0,597000000000.0
2013-12-31,265000000000.0,926000000000.0,508000000000.0
2014-03-31,279000000000.0,1000000000000.0,500000000000.0
2014-06-30,270000000000.0,993000000000.0,547000000000.0
2014-09-30,286000000000.0,988000000000.0,573000000000.0
2014-12-31,281000000000.0,1039000000000.0,554000000000.0
2015-03-31,276000000000.0,1080000000000.0,659000000000.0
2015-06-30,255000000000.0,1132000000000.0,649000000000.0
2015-09-30,250000000000.0,1056000000000.0,719000000000.0
2015-12-31,265000000000.0,1028000000000.0,600000000000.0
2016-03-31,269000000000.0,979000000000.0,696000000000.0
2016-06-30,267000000000.0,982000000000.0,691000000000.0
2016-09-30,267000000000.0,1086000000000.0,729000000000.0
2016-12-31,295000000000.0,1090000000000.0,675000000000.0
2017-03-31,313000000000.0,1186000000000.0,738000000000.0
2017-06-30,331000000000.0,1268000000000.0,795000000000.0
2017-09-30,345000000000.0,1373000000000.0,721000000000.0
2017-12-31,356000000000.0,1381000000000.0,685000000000.0
2018-03-31,394000000000.0,1420000000000.0,780000000000.0
2018-06-30,392000000000.0,1530000000000.0,894000000000.0
2018-09-30,377000000000.0,1594000000000.0,862000000000.0
2018-12-31,387000000000.0,1291000000000.0,1081000000000.0
2019-03-31,401000000000.0,1411000000000.0,1221000000000.0
2019-06-30,429000000000.0,1436000000000.0,1290000000000.0
2019-09-30,401000000000.0,1356000000000.0,1331000000000.0
2019-12-31,450000000000.0,1413000000000.0,1302000000000.0
2020-03-31,441000000000.0,1067000000000.0,1358000000000.0
2020-06-30,416000000000.0,1301000000000.0,1169000000000.0
2020-09-30,449000000000.0,1417000000000.0,1331000000000.0
2020-12-31,406000000000.0,1621000000000.0,1202000000000.0
2021-03-31,482000000000.0,1715000000000.0,1066000000000.0
2021-06-30,544000000000.0,1939000000000.0,1113000000000.0
2021-09-30,548000000000.0,1931000000000.0,1205000000000.0
2021-12-31,634000000000.0,1975000000000.0,1151000000000.0
2022-03-31,599000000000.0,1851000000000.0,1090000000000.0
2022-06-30,589000000000.0,1667000000000.0,1150000000000.0
2022-09-30,567000000000.0,1601000000000.0,1149000000000.0
2022-12-31,583000000000.0,1646000000000.0,1227000000000.0
2023-03-31,569000000000.0,1753000000000.0,1442000000000.0
2023-06-30,547000000000.0,1878000000000.0,1637000000000.0
2023-09-30,564000000000.0,1811000000000.0,1822000000000.0
2023-12-31,548000000000.0,2088000000000.0,2009000000000.0
2024-03-31,557000000000.0,2312000000000.0,2071000000000.0
2024-06-30,553000000000.0,2338000000000.0,2215000000000.0
2024-09-30,549000000000.0,2513000000000.0,2738000000000.0
2024-12-31,599000000000.0,2500000000000.0,2497000000000.0
2025-03-31,650000000000.0,2629000000000.0,2855000000000.0
2025-06-30,719000000000.0,3008000000000.0,3122000000000.0
2025-09-30,700000000000.0,3259000000000.0,3165000000000.0
2025-12-31,783000000000.0,3259000000000.0,3379000000000.0
2026-03-31,781000000000.0,3221000000000.0,3243000000000.0
