date,FPF-STRATEGY_CREDIT_NAV_SUM,FPF-STRATEGY_EQUITY_NAV_SUM,FPF-STRATEGY_MACRO_NAV_SUM,FPF-STRATEGY_MULTI_NAV_SUM,FPF-STRATEGY_EVENT_NAV_SUM,FPF-STRATEGY_RV_NAV_SUM,FPF-STRATEGY_OTHER_NAV_SUM,FPF-STRATEGY_FUTURES_NAV_SUM,FPF-STRATEGY_FOF_NAV_SUM
,Credit strategy funds: net assets (U.S. dollars),Equity strategy funds: net assets (U.S. dollars),Macro strategy funds: net assets (U.S. dollars),Multi strategy funds: net assets (U.S. dollars),Event strategy funds: net assets (U.S. dollars),Relative Value strategy funds: net assets (U.S. dollars),Other strategy funds: net assets (U.S. dollars),Managed futures strategy funds: net assets (U.S. dollars),Fund of funds: net assets (U.S. dollars)
2013-03-31,87000000000.0,582000000000.0,166000000000.0,491000000000.0,153000000000.0,115000000000.0,404000000000.0,36000000000.0,8000000000.0
2013-06-30,81000000000.0,585000000000.0,175000000000.0,522000000000.0,159000000000.0,104000000000.0,419000000000.0,33000000000.0,7000000000.0
2013-09-30,88000000000.0,639000000000.0,175000000000.0,509000000000.0,174000000000.0,103000000000.0,439000000000.0,34000000000.0,10000000000.0
2013-12-31,98000000000.0,687000000000.0,190000000000.0,595000000000.0,186000000000.0,124000000000.0,460000000000.0,39000000000.0,9000000000.0
2014-03-31,107000000000.0,694000000000.0,185000000000.0,627000000000.0,198000000000.0,128000000000.0,476000000000.0,37000000000.0,11000000000.0
2014-06-30,114000000000.0,749000000000.0,188000000000.0,675000000000.0,218000000000.0,131000000000.0,499000000000.0,28000000000.0,10000000000.0
2014-09-30,114000000000.0,748000000000.0,181000000000.0,643000000000.0,214000000000.0,146000000000.0,511000000000.0,20000000000.0,14000000000.0
2014-12-31,113000000000.0,780000000000.0,166000000000.0,683000000000.0,198000000000.0,160000000000.0,517000000000.0,28000000000.0,13000000000.0
2015-03-31,111000000000.0,819000000000.0,228000000000.0,680000000000.0,232000000000.0,170000000000.0,533000000000.0,44000000000.0,11000000000.0
