"DATE","TIME PERIOD","Debt securities held by insurance corporations (stocks) (ICB.Q.U2.X.S128.A30.T.1.W0.S1._T.EUR)"
"2008-03-31","2008Q1","1873950.72"
"2008-06-30","2008Q2","1873571.44"
"2008-09-30","2008Q3","1905976.41"
"2008-12-31","2008Q4","1935578.65"
"2009-03-31","2009Q1","1974652.00"
"2009-06-30","2009Q2","2066769.64"
"2009-09-30","2009Q3","2127726.60"
"2009-12-31","2009Q4","2156950.50"
"2010-03-31","2010Q1","2289502.69"
"2010-06-30","2010Q2","2314850.01"
"2010-09-30","2010Q3","2391731.75"
"2010-12-31","2010Q4","2336556.04"
"2011-03-31","2011Q1","2382196.59"
"2011-06-30","2011Q2","2394880.01"
"2011-09-30","2011Q3","2407612.58"
"2011-12-31","2011Q4","2359388.21"
"2012-03-31","2012Q1","2501724.19"
"2012-06-30","2012Q2","2505986.23"
"2012-09-30","2012Q3","2605190.41"
"2012-12-31","2012Q4","2656439.51"
"2013-03-31","2013Q1","2692857.67"
"2013-06-30","2013Q2","2683141.13"
"2013-09-30","2013Q3","2690712.72"
"2013-12-31","2013Q4","2734518.76"
"2014-03-31","2014Q1","2831595.26"
"2014-06-30","2014Q2","2919667.09"
"2014-09-30","2014Q3","2993499.31"
"2014-12-31","2014Q4","3076552.64"
"2015-03-31","2015Q1","3200177.10"
"2015-06-30","2015Q2","3070516.92"
"2015-09-30","2015Q3","3101099.10"
"2015-12-31","2015Q4","3146364.80"
"2016-03-31","2016Q1","3256807.41"
"2016-06-30","2016Q2","3334115.85"
"2016-09-30","2016Q3","3445219.77"
"2016-12-31","2016Q4","3346248.80"
"2017-03-31","2017Q1","3312876.14"
"2017-06-30","2017Q2","3305044.07"
"2017-09-30","2017Q3","3303772.47"
"2017-12-31","2017Q4","3315164.49"
"2018-03-31","2018Q1","3320375.42"
"2018-06-30","2018Q2","3301026.89"
"2018-09-30","2018Q3","3298549.72"
"2018-12-31","2018Q4","3303309.64"
"2019-03-31","2019Q1","3418799.14"
"2019-06-30","2019Q2","3521930.73"
"2019-09-30","2019Q3","3642981.16"
"2019-12-31","2019Q4","3570472.28"
"2020-03-31","2020Q1","3473638.58"
"2020-06-30","2020Q2","3570116.46"
"2020-09-30","2020Q3","3602467.82"
"2020-12-31","2020Q4","3662008.84"
"2021-03-31","2021Q1","3582221.89"
"2021-06-30","2021Q2","3545506.15"
"2021-09-30","2021Q3","3522193.32"
"2021-12-31","2021Q4","3489571.50"
"2022-03-31","2022Q1","3294400.91"
"2022-06-30","2022Q2","3014967.98"
"2022-09-30","2022Q3","2866876.19"
"2022-12-31","2022Q4","2775694.85"
"2023-03-31","2023Q1","2830495.43"
"2023-06-30","2023Q2","2834031.99"
"2023-09-30","2023Q3","2767172.18"
"2023-12-31","2023Q4","2931961.75"
"2024-03-31","2024Q1","2965299.44"
"2024-06-30","2024Q2","2941230.07"
"2024-09-30","2024Q3","3053119.39"
"2024-12-31","2024Q4","3074929.63"
"2025-03-31","2025Q1","3074925.54"
"2025-06-30","2025Q2","3125449.68"
"2025-09-30","2025Q3","3154122.14"
"2025-12-31","2025Q4","3178357.56"
"2026-03-31","2026Q1","3199186.11"
