Observation date;Securities held with the centralized securities account - BTPS
2026-03-31;2396
2025-12-31;2362.3
2025-09-30;2338.7
2025-06-30;2327.9
2025-03-31;2280.4
2024-12-31;2232.3
2024-09-30;2219.2
2024-06-30;2211.1
2024-03-31;2170.2
2023-12-31;2120.7
2023-09-30;2107.5
2023-06-30;2099.1
2023-03-31;2055.6
2022-12-31;2018.7
2022-09-30;1982.5
2022-06-30;1998.1
2022-03-31;1976
2021-12-31;1912
2021-09-30;1912.8
2021-06-30;1923.1
2021-03-31;1860.7
2020-12-31;1801
2020-09-30;1794.2
2020-06-30;1750.8
2020-03-31;1686.3
2019-12-31;1677.2
2019-09-30;1666.5
2019-06-30;1684.1
2019-03-31;1659.1
2018-12-31;1644.6
2018-09-30;1642
2018-06-30;1640.7
2018-03-31;1619.4
2017-12-31;1595.1
2017-09-30;1597.6
2017-06-30;1593.1
2017-03-31;1587.9
2016-12-31;1552.7
2016-09-30;1554.4
2016-06-30;1566.5
2016-03-31;1539.9
2015-12-31;1493.4
2015-09-30;1491.6
2015-06-30;1496.5
2015-03-31;1481.1
2014-12-31;1448.7
2014-09-30;1425.2
2014-06-30;1442.6
2014-03-31;1396.9
2013-12-31;1339.5
2013-09-30;1325.3
2013-06-30;1315.6
2013-03-31;1285.1
2012-12-31;1259.2
2012-09-30;1236.9
2012-06-30;1229.5
2012-03-31;1205.2
2011-12-31;1194.9
2011-09-30;1156.9
2011-06-30;1176.4
2011-03-31;1153.5
2010-12-31;1142.7
2010-09-30;1104.8
2010-06-30;1084.2
2010-03-31;1050.9
2009-12-31;1032.5
2009-09-30;1025.9
2009-06-30;973.4
2009-03-31;967.5
2008-12-31;932.8
2008-09-30;894.9
2008-06-30;886.3
2008-03-31;878.9
2007-12-31;871.2
2007-09-30;880.8
2007-06-30;863.1
2007-03-31;836.4
2006-12-31;837.2
2006-09-30;832
2006-06-30;827.4
2006-03-31;800.6
2005-12-31;788.2
2005-09-30;789.5
2005-06-30;808.7
2005-03-31;789.8
2004-12-31;759
2004-09-30;765
2004-06-30;762.3
2004-03-31;732.2
2003-12-31;722.1
2003-09-30;728.8
2003-06-30;696.4
2003-03-31;689.8
2002-12-31;681.9
2002-09-30;692.2
2002-06-30;687
2002-03-31;687.4
2001-12-31;678.2
2001-09-30;662.6
2001-06-30;670.6
2001-03-31;661.3
2000-12-31;639.7
2000-09-30;638.2
2000-06-30;625.1
2000-03-31;607.5
1999-12-31;585
1999-09-30;580
1999-06-30;555
1999-03-31;579
