Observation date;Portfolio management services: CCTs held by securities firms end-of-period market values
2026-03-31;36
2025-12-31;37
2025-09-30;41
2025-06-30;31
2025-03-31;38
2024-12-31;39
2024-09-30;41
2024-06-30;29
2024-03-31;28
2023-12-31;31
2023-09-30;51
2023-06-30;57
2023-03-31;45
2022-12-31;21
2022-09-30;37
2022-06-30;20
2022-03-31;49
2021-12-31;55
2021-09-30;55
2021-06-30;65
2021-03-31;52
2020-12-31;63
2020-09-30;99
2020-06-30;93
2020-03-31;104
2019-12-31;96
2019-09-30;150
2019-06-30;133
2019-03-31;179
2018-12-31;155
2018-09-30;145
2018-06-30;226
2018-03-31;210
2017-12-31;309
2017-09-30;317
2017-06-30;306
2017-03-31;326
2016-12-31;400
2016-09-30;209
2016-06-30;236
2016-03-31;220
2015-12-31;231
2015-09-30;236
2015-06-30;292
2015-03-31;311
2014-12-31;285
2014-09-30;285
2014-06-30;338
2014-03-31;359
2013-12-31;390
2013-09-30;312
2013-06-30;350
2013-03-31;351
2012-12-31;337
2012-09-30;332
2012-06-30;336
2012-03-31;424
2011-12-31;408
2011-09-30;457
2011-06-30;624
2011-03-31;660
2010-12-31;656
2010-09-30;622
2010-06-30;566
2010-03-31;740
2009-12-31;937
2009-09-30;934
2009-06-30;1004
2009-03-31;1068
2008-12-31;1198
2008-09-30;1138
2008-06-30;1030
2008-03-31;971
2007-12-31;1046
2007-09-30;1103
2007-06-30;786
2007-03-31;742
2006-12-31;682
2006-09-30;871
2006-06-30;844
2006-03-31;830
2005-12-31;883
2005-09-30;937
2005-06-30;981
2005-03-31;1094
2004-12-31;1113
2004-09-30;1146
2004-06-30;1164
2004-03-31;1253
2003-12-31;1330
2003-09-30;1525
2003-06-30;1735
2003-03-31;1684
2002-12-31;1906
2002-09-30;2106
2002-06-30;2287
2002-03-31;2047
2001-12-31;1801
2001-09-30;1863
2001-06-30;1764
2001-03-31;1915
2000-12-31;2148
2000-09-30;2508
2000-06-30;3220
2000-03-31;3482
1999-12-31;3417
1999-09-30;6216
1999-06-30;5864
1999-03-31;6231
1998-12-31;7947
1998-09-30;6042
1998-06-30;5075
1998-03-31;5028
1997-12-31;7043
1997-09-30;6970
1997-06-30;7586
1997-03-31;8438
1996-12-31;8920
1996-09-30;9173
1996-06-30;9266
1996-03-31;5849
1995-12-31;5289
1995-09-30;4538
1995-06-30;4071
1995-03-31;3760
1994-12-31;3832
1994-09-30;3580
1994-06-30;820
1994-03-31;807
1993-12-31;688
1993-09-30;732
1993-06-30;663
1993-03-31;717
1992-12-31;520
