Observation date;Portfolio management services: CCTs held by asset management companies end-of-period market values
2026-03-31;1911
2025-12-31;2226
2025-09-30;2191
2025-06-30;2186
2025-03-31;2916
2024-12-31;4406
2024-09-30;5235
2024-06-30;5123
2024-03-31;5239
2023-12-31;5267
2023-09-30;5164
2023-06-30;5168
2023-03-31;5524
2022-12-31;5649
2022-09-30;8528
2022-06-30;8760
2022-03-31;9476
2021-12-31;9439
2021-09-30;9600
2021-06-30;9107
2021-03-31;9204
2020-12-31;9122
2020-09-30;8571
2020-06-30;8916
2020-03-31;9568
2019-12-31;9505
2019-09-30;9383
2019-06-30;9804
2019-03-31;10889
2018-12-31;11041
2018-09-30;11617
2018-06-30;12114
2018-03-31;13977
2017-12-31;14461
2017-09-30;13159
2017-06-30;13097
2017-03-31;13096
2016-12-31;13589
2016-09-30;12845
2016-06-30;13691
2016-03-31;13467
2015-12-31;12557
2015-09-30;12031
2015-06-30;11204
2015-03-31;10884
2014-12-31;9356
2014-09-30;10189
2014-06-30;9900
2014-03-31;8512
2013-12-31;8111
2013-09-30;7810
2013-06-30;8278
2013-03-31;8354
2012-12-31;8734
2012-09-30;9412
2012-06-30;9466
2012-03-31;10901
2011-12-31;12276
2011-09-30;14151
2011-06-30;15958
2011-03-31;17089
2010-12-31;15805
2010-09-30;15330
2010-06-30;13449
2010-03-31;13733
2009-12-31;14315
2009-09-30;12272
2009-06-30;10229
2009-03-31;10526
2008-12-31;12960
2008-09-30;13318
2008-06-30;13949
2008-03-31;17504
2007-12-31;16302
2007-09-30;19246
2007-06-30;16023
2007-03-31;17586
2006-12-31;17727
2006-09-30;16490
2006-06-30;15526
2006-03-31;16467
2005-12-31;17081
2005-09-30;20124
2005-06-30;21859
2005-03-31;22799
2004-12-31;23661
2004-09-30;23900
2004-06-30;22637
2004-03-31;23832
2003-12-31;22829
2003-09-30;19880
2003-06-30;21054
2003-03-31;25197
2002-12-31;22686
2002-09-30;18139
2002-06-30;15786
2002-03-31;15863
2001-12-31;12437
2001-09-30;13944
2001-06-30;12988
2001-03-31;10020
2000-12-31;9496
2000-09-30;10692
2000-06-30;10808
2000-03-31;9236
1999-12-31;7237
1999-09-30;2459
1999-06-30;1626
1999-03-31;1439
