Observation date;CCTs, held by non-financial corporations, flows
2025-12-31;22
2024-12-31;769
2023-12-31;938
2022-12-31;589
2021-12-31;302
2020-12-31;96
2019-12-31;-218
2018-12-31;-444
2017-12-31;-577
2016-12-31;-820
2015-12-31;-138
2014-12-31;-533
2013-12-31;684
2012-12-31;-2511
2011-12-31;582
2010-12-31;994
2009-12-31;-2210
2008-12-31;-1757
2007-12-31;1321
2006-12-31;1935
2005-12-31;-1087
2004-12-31;159
2003-12-31;-2029
2002-12-31;-2015
2001-12-31;-997
2000-12-31;184
1999-12-31;1427
1998-12-31;-3566
1997-12-31;-839
1996-12-31;-4046
1995-12-31;-2363
