Observation date;CCTs, held by Monetary Financial Institutions, flows
2025-12-31;-6076
2024-12-31;-7053
2023-12-31;-2323
2022-12-31;-4378
2021-12-31;21306
2020-12-31;7339
2019-12-31;-309
2018-12-31;9080
2017-12-31;5704
2016-12-31;10052
2015-12-31;-1764
2014-12-31;1053
2013-12-31;5560
2012-12-31;3049
2011-12-31;-6586
2010-12-31;-2314
2009-12-31;-12548
2008-12-31;-826
2007-12-31;-5165
2006-12-31;-7919
2005-12-31;6411
2004-12-31;687
2003-12-31;-4984
2002-12-31;-11770
2001-12-31;-2924
2000-12-31;-5462
1999-12-31;-15698
1998-12-31;-10594
1997-12-31;-3003
1996-12-31;7867
1995-12-31;-1989
