Observation date;CCTs, held by other financial intermediaries, flows
2025-12-31;-67
2024-12-31;520
2023-12-31;133
2022-12-31;-836
2021-12-31;477
2020-12-31;-367
2019-12-31;-744
2018-12-31;-2264
2017-12-31;1711
2016-12-31;145
2015-12-31;-1505
2014-12-31;-2943
2013-12-31;941
2012-12-31;-5028
2011-12-31;-2103
2010-12-31;2149
2009-12-31;1090
2008-12-31;3793
2007-12-31;645
2006-12-31;-4120
2005-12-31;100
2004-12-31;668
2003-12-31;2096
2002-12-31;3993
2001-12-31;2078
2000-12-31;-10668
1999-12-31;2282
1998-12-31;17450
1997-12-31;3773
1996-12-31;1239
1995-12-31;-617
