Observation date;CCTs, held by insurance corporations and pension funds, flows
2025-12-31;-2176
2024-12-31;-924
2023-12-31;-986
2022-12-31;-4510
2021-12-31;168
2020-12-31;-999
2019-12-31;-2845
2018-12-31;-3938
2017-12-31;-17
2016-12-31;3025
2015-12-31;373
2014-12-31;911
2013-12-31;-7855
2012-12-31;315
2011-12-31;-2781
2010-12-31;3843
2009-12-31;-2860
2008-12-31;-5871
2007-12-31;-4728
2006-12-31;283
2005-12-31;-8586
2004-12-31;3408
2003-12-31;4279
2002-12-31;12742
2001-12-31;-1970
2000-12-31;4213
1999-12-31;106
1998-12-31;-1358
1997-12-31;-8682
1996-12-31;-1108
1995-12-31;5224
