Observation date;CCTs held by Central Government, flows
2025-12-31;-1213
2024-12-31;103
2023-12-31;952
2022-12-31;45
2021-12-31;100
2020-12-31;-61
2019-12-31;-5
2018-12-31;5
2017-12-31;-175
2016-12-31;53
2015-12-31;150
2014-12-31;-14
2013-12-31;-57
2012-12-31;24
2011-12-31;35
2010-12-31;-39
2009-12-31;23
2008-12-31;-8
2007-12-31;-160
2006-12-31;158
2005-12-31;7
2004-12-31;-22
2003-12-31;-1970
2002-12-31;1961
2001-12-31;-11
2000-12-31;-5
1999-12-31;57
1998-12-31;-115
1997-12-31;38
1996-12-31;9
1995-12-31;-82
