Observation date;CCTs net issues, flows
2025-12-31;-15364
2024-12-31;-3918
2023-12-31;3712
2022-12-31;-12555
2021-12-31;23288
2020-12-31;946
2019-12-31;-3060
2018-12-31;-4971
2017-12-31;-1699
2016-12-31;13823
2015-12-31;2309
2014-12-31;-5078
2013-12-31;1790
2012-12-31;-21418
2011-12-31;-13125
2010-12-31;-7130
2009-12-31;-21657
2008-12-31;-8265
2007-12-31;-92
2006-12-31;-7409
2005-12-31;1186
2004-12-31;-66
2003-12-31;-18768
2002-12-31;-12793
2001-12-31;-11862
2000-12-31;-8384
1999-12-31;-42658
1998-12-31;-36668
1997-12-31;-11482
1996-12-31;4549
1995-12-31;-23048
