Date;ISIN;YL017
01/01/2004;FR0000188013;2.03
02/01/2004;FR0000188013;2.069
05/01/2004;FR0000188013;2.052
06/01/2004;FR0000188013;2.006
07/01/2004;FR0000188013;1.995
08/01/2004;FR0000188013;1.991
09/01/2004;FR0000188013;1.921
12/01/2004;FR0000188013;1.904
13/01/2004;FR0000188013;1.932
14/01/2004;FR0000188013;1.963
15/01/2004;FR0000188013;1.966
16/01/2004;FR0000188013;1.97
19/01/2004;FR0000188013;1.968
20/01/2004;FR0000188013;1.934
21/01/2004;FR0000188013;1.927
22/01/2004;FR0000188013;1.893
23/01/2004;FR0000188013;1.841
26/01/2004;FR0000188013;1.904
27/01/2004;FR0000188013;1.916
28/01/2004;FR0000188013;1.909
29/01/2004;FR0000188013;2.014
30/01/2004;FR0000188013;1.98
02/02/2004;FR0000188013;1.975
03/02/2004;FR0000188013;1.962
04/02/2004;FR0000188013;1.961
05/02/2004;FR0000188013;1.944
06/02/2004;FR0000188013;1.924
09/02/2004;FR0000188013;1.928
10/02/2004;FR0000188013;1.93
11/02/2004;FR0000188013;1.876
12/02/2004;FR0000188013;1.873
13/02/2004;FR0000188013;1.853
16/02/2004;FR0000188013;1.857
17/02/2004;FR0000188013;1.835
18/02/2004;FR0000188013;1.838
19/02/2004;FR0000188013;1.864
20/02/2004;FR0000188013;1.879
23/02/2004;FR0000188013;1.872
24/02/2004;FR0000188013;1.829
25/02/2004;FR0000188013;1.821
26/02/2004;FR0000188013;1.826
27/02/2004;FR0000188013;1.792
01/03/2004;FR0000188013;1.805
02/03/2004;FR0000188013;1.825
03/03/2004;FR0000188013;1.864
04/03/2004;FR0000188013;1.832
05/03/2004;FR0000188013;1.718
08/03/2004;FR0000188013;1.663
09/03/2004;FR0000188013;1.643
10/03/2004;FR0000188013;1.658
11/03/2004;FR0000188013;1.634
12/03/2004;FR0000188013;1.623
15/03/2004;FR0000188013;1.613
16/03/2004;FR0000188013;1.653
17/03/2004;FR0000188013;1.614
18/03/2004;FR0000188013;1.599
19/03/2004;FR0000188013;1.599
22/03/2004;FR0000188013;1.581
23/03/2004;FR0000188013;1.594
24/03/2004;FR0000188013;1.561
25/03/2004;FR0000188013;1.542
26/03/2004;FR0000188013;1.558
29/03/2004;FR0000188013;1.632
30/03/2004;FR0000188013;1.626
31/03/2004;FR0000188013;1.607
01/04/2004;FR0000188013;1.625
02/04/2004;FR0000188013;1.73
05/04/2004;FR0000188013;1.765
06/04/2004;FR0000188013;1.751
07/04/2004;FR0000188013;1.737
08/04/2004;FR0000188013;1.779
09/04/2004;FR0000188013;1.777
12/04/2004;FR0000188013;1.775
13/04/2004;FR0000188013;1.847
14/04/2004;FR0000188013;1.851
15/04/2004;FR0000188013;1.819
16/04/2004;FR0000188013;1.801
19/04/2004;FR0000188013;1.809
20/04/2004;FR0000188013;1.838
21/04/2004;FR0000188013;1.857
22/04/2004;FR0000188013;1.851
23/04/2004;FR0000188013;1.868
26/04/2004;FR0000188013;1.882
27/04/2004;FR0000188013;1.885
28/04/2004;FR0000188013;1.894
29/04/2004;FR0000188013;1.893
30/04/2004;FR0000188013;1.853
03/05/2004;FR0000188013;1.836
04/05/2004;FR0000188013;1.838
05/05/2004;FR0000188013;1.838
06/05/2004;FR0000188013;1.871
07/05/2004;FR0000188013;1.949
10/05/2004;FR0000188013;1.941
11/05/2004;FR0000188013;1.937
12/05/2004;FR0000188013;1.932
13/05/2004;FR0000188013;1.934
14/05/2004;FR0000188013;1.889
17/05/2004;FR0000188013;1.855
18/05/2004;FR0000188013;1.891
19/05/2004;FR0000188013;1.928
20/05/2004;FR0000188013;1.894
21/05/2004;FR0000188013;1.883
24/05/2004;FR0000188013;1.897
25/05/2004;FR0000188013;1.875
26/05/2004;FR0000188013;1.834
27/05/2004;FR0000188013;1.787
28/05/2004;FR0000188013;1.806
31/05/2004;FR0000188013;1.802
01/06/2004;FR0000188013;1.795
02/06/2004;FR0000188013;1.79
03/06/2004;FR0000188013;1.786
04/06/2004;FR0000188013;1.815
07/06/2004;FR0000188013;1.821
08/06/2004;FR0000188013;1.813
09/06/2004;FR0000188013;1.905
10/06/2004;FR0000188013;1.907
11/06/2004;FR0000188013;1.924
14/06/2004;FR0000188013;1.918
15/06/2004;FR0000188013;1.824
16/06/2004;FR0000188013;1.869
17/06/2004;FR0000188013;1.881
18/06/2004;FR0000188013;1.855
21/06/2004;FR0000188013;1.872
22/06/2004;FR0000188013;1.913
23/06/2004;FR0000188013;1.911
24/06/2004;FR0000188013;1.857
25/06/2004;FR0000188013;1.879
28/06/2004;FR0000188013;1.927
29/06/2004;FR0000188013;1.916
30/06/2004;FR0000188013;1.855
01/07/2004;FR0000188013;1.84
02/07/2004;FR0000188013;1.776
05/07/2004;FR0000188013;1.77
06/07/2004;FR0000188013;1.77
07/07/2004;FR0000188013;1.758
08/07/2004;FR0000188013;1.764
09/07/2004;FR0000188013;1.765
12/07/2004;FR0000188013;1.759
13/07/2004;FR0000188013;1.8
14/07/2004;FR0000188013;1.795
15/07/2004;FR0000188013;1.786
16/07/2004;FR0000188013;1.727
19/07/2004;FR0000188013;1.743
20/07/2004;FR0000188013;1.769
21/07/2004;FR0000188013;1.85
22/07/2004;FR0000188013;1.815
23/07/2004;FR0000188013;1.826
26/07/2004;FR0000188013;1.834
27/07/2004;FR0000188013;1.844
28/07/2004;FR0000188013;1.852
29/07/2004;FR0000188013;1.843
30/07/2004;FR0000188013;1.793
02/08/2004;FR0000188013;1.793
03/08/2004;FR0000188013;1.784
04/08/2004;FR0000188013;1.766
05/08/2004;FR0000188013;1.742
06/08/2004;FR0000188013;1.668
09/08/2004;FR0000188013;1.681
10/08/2004;FR0000188013;1.676
11/08/2004;FR0000188013;1.708
12/08/2004;FR0000188013;1.681
13/08/2004;FR0000188013;1.647
16/08/2004;FR0000188013;1.688
17/08/2004;FR0000188013;1.673
18/08/2004;FR0000188013;1.701
19/08/2004;FR0000188013;1.676
20/08/2004;FR0000188013;1.635
23/08/2004;FR0000188013;1.682
24/08/2004;FR0000188013;1.673
25/08/2004;FR0000188013;1.655
26/08/2004;FR0000188013;1.658
27/08/2004;FR0000188013;1.672
30/08/2004;FR0000188013;1.669
31/08/2004;FR0000188013;1.628
01/09/2004;FR0000188013;1.655
02/09/2004;FR0000188013;1.671
03/09/2004;FR0000188013;1.73
06/09/2004;FR0000188013;1.72
07/09/2004;FR0000188013;1.734
08/09/2004;FR0000188013;1.731
09/09/2004;FR0000188013;1.678
10/09/2004;FR0000188013;1.662
13/09/2004;FR0000188013;1.678
14/09/2004;FR0000188013;1.657
15/09/2004;FR0000188013;1.66
16/09/2004;FR0000188013;1.643
17/09/2004;FR0000188013;1.628
20/09/2004;FR0000188013;1.606
21/09/2004;FR0000188013;1.601
22/09/2004;FR0000188013;1.571
23/09/2004;FR0000188013;1.551
24/09/2004;FR0000188013;1.563
27/09/2004;FR0000188013;1.534
28/09/2004;FR0000188013;1.527
29/09/2004;FR0000188013;1.551
30/09/2004;FR0000188013;1.523
01/10/2004;FR0000188013;1.529
04/10/2004;FR0000188013;1.567
05/10/2004;FR0000188013;1.533
06/10/2004;FR0000188013;1.529
07/10/2004;FR0000188013;1.547
08/10/2004;FR0000188013;1.478
11/10/2004;FR0000188013;1.49
12/10/2004;FR0000188013;1.47
13/10/2004;FR0000188013;1.476
14/10/2004;FR0000188013;1.435
15/10/2004;FR0000188013;1.444
18/10/2004;FR0000188013;1.436
19/10/2004;FR0000188013;1.46
20/10/2004;FR0000188013;1.424
21/10/2004;FR0000188013;1.437
22/10/2004;FR0000188013;1.42
25/10/2004;FR0000188013;1.385
26/10/2004;FR0000188013;1.361
27/10/2004;FR0000188013;1.379
28/10/2004;FR0000188013;1.405
29/10/2004;FR0000188013;1.382
01/11/2004;FR0000188013;1.378
02/11/2004;FR0000188013;1.43
03/11/2004;FR0000188013;1.401
04/11/2004;FR0000188013;1.35
05/11/2004;FR0000188013;1.42
08/11/2004;FR0000188013;1.387
09/11/2004;FR0000188013;1.337
10/11/2004;FR0000188013;1.344
11/11/2004;FR0000188013;1.299
12/11/2004;FR0000188013;1.282
15/11/2004;FR0000188013;1.294
16/11/2004;FR0000188013;1.275
17/11/2004;FR0000188013;1.265
18/11/2004;FR0000188013;1.302
19/11/2004;FR0000188013;1.283
22/11/2004;FR0000188013;1.26
23/11/2004;FR0000188013;1.254
24/11/2004;FR0000188013;1.262
25/11/2004;FR0000188013;1.232
26/11/2004;FR0000188013;1.232
29/11/2004;FR0000188013;1.275
30/11/2004;FR0000188013;1.249
01/12/2004;FR0000188013;1.229
02/12/2004;FR0000188013;1.278
03/12/2004;FR0000188013;1.204
06/12/2004;FR0000188013;1.168
07/12/2004;FR0000188013;1.142
08/12/2004;FR0000188013;1.114
09/12/2004;FR0000188013;1.099
10/12/2004;FR0000188013;1.083
13/12/2004;FR0000188013;1.071
14/12/2004;FR0000188013;1.073
15/12/2004;FR0000188013;1.027
16/12/2004;FR0000188013;1.068
17/12/2004;FR0000188013;1.108
20/12/2004;FR0000188013;1.087
21/12/2004;FR0000188013;1.117
22/12/2004;FR0000188013;1.139
23/12/2004;FR0000188013;1.103
24/12/2004;FR0000188013;1.101
27/12/2004;FR0000188013;1.118
28/12/2004;FR0000188013;1.18
29/12/2004;FR0000188013;1.212
30/12/2004;FR0000188013;1.181
31/12/2004;FR0000188013;1.175
03/01/2005;FR0000188013;1.143
04/01/2005;FR0000188013;1.145
05/01/2005;FR0000188013;1.133
06/01/2005;FR0000188013;1.113
07/01/2005;FR0000188013;1.109
10/01/2005;FR0000188013;1.102
11/01/2005;FR0000188013;1.127
12/01/2005;FR0000188013;1.147
13/01/2005;FR0000188013;1.092
14/01/2005;FR0000188013;1.093
17/01/2005;FR0000188013;1.082
18/01/2005;FR0000188013;1.082
19/01/2005;FR0000188013;1.076
20/01/2005;FR0000188013;1.126
21/01/2005;FR0000188013;1.103
24/01/2005;FR0000188013;1.077
25/01/2005;FR0000188013;1.098
26/01/2005;FR0000188013;1.106
27/01/2005;FR0000188013;1.131
28/01/2005;FR0000188013;1.106
31/01/2005;FR0000188013;1.113
01/02/2005;FR0000188013;1.132
02/02/2005;FR0000188013;1.146
03/02/2005;FR0000188013;1.14
04/02/2005;FR0000188013;1.085
07/02/2005;FR0000188013;1.086
08/02/2005;FR0000188013;1.079
09/02/2005;FR0000188013;1.072
10/02/2005;FR0000188013;1.073
11/02/2005;FR0000188013;1.077
14/02/2005;FR0000188013;1.09
15/02/2005;FR0000188013;1.111
16/02/2005;FR0000188013;1.153
17/02/2005;FR0000188013;1.189
18/02/2005;FR0000188013;1.281
21/02/2005;FR0000188013;1.321
22/02/2005;FR0000188013;1.34
23/02/2005;FR0000188013;1.352
24/02/2005;FR0000188013;1.379
25/02/2005;FR0000188013;1.376
28/02/2005;FR0000188013;1.388
01/03/2005;FR0000188013;1.377
02/03/2005;FR0000188013;1.375
03/03/2005;FR0000188013;1.373
04/03/2005;FR0000188013;1.313
07/03/2005;FR0000188013;1.278
08/03/2005;FR0000188013;1.284
09/03/2005;FR0000188013;1.294
10/03/2005;FR0000188013;1.315
11/03/2005;FR0000188013;1.34
14/03/2005;FR0000188013;1.341
15/03/2005;FR0000188013;1.262
16/03/2005;FR0000188013;1.236
17/03/2005;FR0000188013;1.243
18/03/2005;FR0000188013;1.256
21/03/2005;FR0000188013;1.287
22/03/2005;FR0000188013;1.221
23/03/2005;FR0000188013;1.25
24/03/2005;FR0000188013;1.233
25/03/2005;FR0000188013;1.237
28/03/2005;FR0000188013;1.237
29/03/2005;FR0000188013;1.236
30/03/2005;FR0000188013;1.213
31/03/2005;FR0000188013;1.141
01/04/2005;FR0000188013;1.115
04/04/2005;FR0000188013;1.079
05/04/2005;FR0000188013;1.091
06/04/2005;FR0000188013;1.102
07/04/2005;FR0000188013;1.072
08/04/2005;FR0000188013;1.11
11/04/2005;FR0000188013;1.095
12/04/2005;FR0000188013;1.086
13/04/2005;FR0000188013;1.06
14/04/2005;FR0000188013;1.091
15/04/2005;FR0000188013;1.063
18/04/2005;FR0000188013;1.044
19/04/2005;FR0000188013;1.01
20/04/2005;FR0000188013;1.023
21/04/2005;FR0000188013;1.052
22/04/2005;FR0000188013;1.039
25/04/2005;FR0000188013;1.025
26/04/2005;FR0000188013;1.027
27/04/2005;FR0000188013;1.01
28/04/2005;FR0000188013;1.009
29/04/2005;FR0000188013;1.02
02/05/2005;FR0000188013;1.026
03/05/2005;FR0000188013;1.013
04/05/2005;FR0000188013;1.053
05/05/2005;FR0000188013;1.035
06/05/2005;FR0000188013;1.069
09/05/2005;FR0000188013;1.04
10/05/2005;FR0000188013;0.99
11/05/2005;FR0000188013;0.969
12/05/2005;FR0000188013;0.977
13/05/2005;FR0000188013;0.965
16/05/2005;FR0000188013;0.975
17/05/2005;FR0000188013;0.973
18/05/2005;FR0000188013;0.97
19/05/2005;FR0000188013;1.001
20/05/2005;FR0000188013;1.023
23/05/2005;FR0000188013;0.988
24/05/2005;FR0000188013;0.957
25/05/2005;FR0000188013;0.955
26/05/2005;FR0000188013;0.978
27/05/2005;FR0000188013;1.013
30/05/2005;FR0000188013;1.023
31/05/2005;FR0000188013;0.95
01/06/2005;FR0000188013;0.953
02/06/2005;FR0000188013;0.931
03/06/2005;FR0000188013;0.956
06/06/2005;FR0000188013;0.915
07/06/2005;FR0000188013;0.847
08/06/2005;FR0000188013;0.812
09/06/2005;FR0000188013;0.833
10/06/2005;FR0000188013;0.852
13/06/2005;FR0000188013;0.886
14/06/2005;FR0000188013;0.923
15/06/2005;FR0000188013;1.007
16/06/2005;FR0000188013;1.009
17/06/2005;FR0000188013;0.995
20/06/2005;FR0000188013;0.996
21/06/2005;FR0000188013;0.908
22/06/2005;FR0000188013;0.847
23/06/2005;FR0000188013;0.856
24/06/2005;FR0000188013;0.85
27/06/2005;FR0000188013;0.837
28/06/2005;FR0000188013;0.85
29/06/2005;FR0000188013;0.873
30/06/2005;FR0000188013;0.82
01/07/2005;FR0000188013;0.862
04/07/2005;FR0000188013;0.89
05/07/2005;FR0000188013;0.909
06/07/2005;FR0000188013;0.911
07/07/2005;FR0000188013;0.881
08/07/2005;FR0000188013;0.892
11/07/2005;FR0000188013;0.939
12/07/2005;FR0000188013;0.923
13/07/2005;FR0000188013;0.935
14/07/2005;FR0000188013;0.954
15/07/2005;FR0000188013;0.96
18/07/2005;FR0000188013;0.942
19/07/2005;FR0000188013;0.95
20/07/2005;FR0000188013;0.964
21/07/2005;FR0000188013;0.958
22/07/2005;FR0000188013;0.908
25/07/2005;FR0000188013;0.889
26/07/2005;FR0000188013;0.904
27/07/2005;FR0000188013;0.895
28/07/2005;FR0000188013;0.898
29/07/2005;FR0000188013;0.893
01/08/2005;FR0000188013;0.931
02/08/2005;FR0000188013;0.953
03/08/2005;FR0000188013;0.943
04/08/2005;FR0000188013;0.951
05/08/2005;FR0000188013;0.988
08/08/2005;FR0000188013;0.983
09/08/2005;FR0000188013;0.991
10/08/2005;FR0000188013;0.972
11/08/2005;FR0000188013;0.964
12/08/2005;FR0000188013;0.94
15/08/2005;FR0000188013;0.942
16/08/2005;FR0000188013;0.899
17/08/2005;FR0000188013;0.899
18/08/2005;FR0000188013;0.877
19/08/2005;FR0000188013;0.873
22/08/2005;FR0000188013;0.848
23/08/2005;FR0000188013;0.834
24/08/2005;FR0000188013;0.831
25/08/2005;FR0000188013;0.803
26/08/2005;FR0000188013;0.809
29/08/2005;FR0000188013;0.807
30/08/2005;FR0000188013;0.797
31/08/2005;FR0000188013;0.74
01/09/2005;FR0000188013;0.7
02/09/2005;FR0000188013;0.677
05/09/2005;FR0000188013;0.664
06/09/2005;FR0000188013;0.683
07/09/2005;FR0000188013;0.686
08/09/2005;FR0000188013;0.664
09/09/2005;FR0000188013;0.655
12/09/2005;FR0000188013;0.726
13/09/2005;FR0000188013;0.681
