Date;ISIN;YL017
15/04/2011;DE0001030518;-0.465
18/04/2011;DE0001030518;-0.536
19/04/2011;DE0001030518;-0.426
20/04/2011;DE0001030518;-0.408
21/04/2011;DE0001030518;-0.499
22/04/2011;DE0001030518;#N/A N/A
25/04/2011;DE0001030518;#N/A N/A
26/04/2011;DE0001030518;-0.507
27/04/2011;DE0001030518;-0.406
28/04/2011;DE0001030518;-0.466
29/04/2011;DE0001030518;-0.492
02/05/2011;DE0001030518;-0.456
03/05/2011;DE0001030518;-0.418
04/05/2011;DE0001030518;-0.315
05/05/2011;DE0001030518;-0.321
06/05/2011;DE0001030518;-0.272
09/05/2011;DE0001030518;-0.276
10/05/2011;DE0001030518;-0.292
11/05/2011;DE0001030518;-0.222
12/05/2011;DE0001030518;-0.12
13/05/2011;DE0001030518;-0.108
16/05/2011;DE0001030518;-0.063
17/05/2011;DE0001030518;0.008
18/05/2011;DE0001030518;0.075
19/05/2011;DE0001030518;0.074
20/05/2011;DE0001030518;0.053
23/05/2011;DE0001030518;0.066
24/05/2011;DE0001030518;0.081
25/05/2011;DE0001030518;0.126
26/05/2011;DE0001030518;0.086
27/05/2011;DE0001030518;0.081
30/05/2011;DE0001030518;0.112
31/05/2011;DE0001030518;0.101
01/06/2011;DE0001030518;0.091
02/06/2011;DE0001030518;0.125
03/06/2011;DE0001030518;0.222
06/06/2011;DE0001030518;0.203
07/06/2011;DE0001030518;0.248
08/06/2011;DE0001030518;0.197
09/06/2011;DE0001030518;0.172
10/06/2011;DE0001030518;0.18
13/06/2011;DE0001030518;0.193
14/06/2011;DE0001030518;0.214
15/06/2011;DE0001030518;0.144
16/06/2011;DE0001030518;0.165
17/06/2011;DE0001030518;0.261
20/06/2011;DE0001030518;0.347
21/06/2011;DE0001030518;0.35
22/06/2011;DE0001030518;0.246
23/06/2011;DE0001030518;0.308
24/06/2011;DE0001030518;0.387
27/06/2011;DE0001030518;0.39
28/06/2011;DE0001030518;0.412
29/06/2011;DE0001030518;0.365
30/06/2011;DE0001030518;0.382
01/07/2011;DE0001030518;0.42
04/07/2011;DE0001030518;0.448
05/07/2011;DE0001030518;0.401
06/07/2011;DE0001030518;0.401
07/07/2011;DE0001030518;0.373
08/07/2011;DE0001030518;0.284
11/07/2011;DE0001030518;0.161
12/07/2011;DE0001030518;0.161
13/07/2011;DE0001030518;0.16
14/07/2011;DE0001030518;0.109
15/07/2011;DE0001030518;0.081
18/07/2011;DE0001030518;0.089
19/07/2011;DE0001030518;0.133
20/07/2011;DE0001030518;0.154
21/07/2011;DE0001030518;0.202
22/07/2011;DE0001030518;0.182
25/07/2011;DE0001030518;0.136
26/07/2011;DE0001030518;0.176
27/07/2011;DE0001030518;0.169
28/07/2011;DE0001030518;0.163
29/07/2011;DE0001030518;0.122
01/08/2011;DE0001030518;0.062
02/08/2011;DE0001030518;0.101
03/08/2011;DE0001030518;0.117
04/08/2011;DE0001030518;0.047
05/08/2011;DE0001030518;0.038
08/08/2011;DE0001030518;0.162
09/08/2011;DE0001030518;0.202
10/08/2011;DE0001030518;0.055
11/08/2011;DE0001030518;0.116
12/08/2011;DE0001030518;0.104
15/08/2011;DE0001030518;0.1
16/08/2011;DE0001030518;0.079
17/08/2011;DE0001030518;-0.005
18/08/2011;DE0001030518;0.018
19/08/2011;DE0001030518;0.086
22/08/2011;DE0001030518;0.079
23/08/2011;DE0001030518;0.111
24/08/2011;DE0001030518;0.092
25/08/2011;DE0001030518;-0.004
26/08/2011;DE0001030518;0.034
29/08/2011;DE0001030518;0.09
30/08/2011;DE0001030518;0.03
31/08/2011;DE0001030518;0.013
01/09/2011;DE0001030518;-0.112
02/09/2011;DE0001030518;-0.215
05/09/2011;DE0001030518;-0.288
06/09/2011;DE0001030518;-0.271
07/09/2011;DE0001030518;-0.302
