Date;ISIN;YL017
01/01/2004;IT0003532915;1.56
02/01/2004;IT0003532915;1.576
05/01/2004;IT0003532915;1.572
06/01/2004;IT0003532915;1.522
07/01/2004;IT0003532915;1.517
08/01/2004;IT0003532915;1.497
09/01/2004;IT0003532915;1.42
12/01/2004;IT0003532915;1.401
13/01/2004;IT0003532915;1.423
14/01/2004;IT0003532915;1.453
15/01/2004;IT0003532915;1.463
16/01/2004;IT0003532915;1.474
19/01/2004;IT0003532915;1.467
20/01/2004;IT0003532915;1.426
21/01/2004;IT0003532915;1.413
22/01/2004;IT0003532915;1.376
23/01/2004;IT0003532915;1.321
26/01/2004;IT0003532915;1.377
27/01/2004;IT0003532915;1.363
28/01/2004;IT0003532915;1.355
29/01/2004;IT0003532915;1.474
30/01/2004;IT0003532915;1.458
02/02/2004;IT0003532915;1.441
03/02/2004;IT0003532915;1.416
04/02/2004;IT0003532915;1.427
05/02/2004;IT0003532915;1.418
06/02/2004;IT0003532915;1.391
09/02/2004;IT0003532915;1.39
10/02/2004;IT0003532915;1.392
11/02/2004;IT0003532915;1.353
12/02/2004;IT0003532915;1.341
13/02/2004;IT0003532915;1.317
16/02/2004;IT0003532915;1.326
17/02/2004;IT0003532915;1.3
18/02/2004;IT0003532915;1.303
19/02/2004;IT0003532915;1.343
20/02/2004;IT0003532915;1.367
23/02/2004;IT0003532915;1.359
24/02/2004;IT0003532915;1.318
25/02/2004;IT0003532915;1.315
26/02/2004;IT0003532915;1.314
27/02/2004;IT0003532915;1.305
01/03/2004;IT0003532915;1.324
02/03/2004;IT0003532915;1.357
03/03/2004;IT0003532915;1.405
04/03/2004;IT0003532915;1.357
05/03/2004;IT0003532915;1.222
08/03/2004;IT0003532915;1.166
09/03/2004;IT0003532915;1.151
10/03/2004;IT0003532915;1.173
11/03/2004;IT0003532915;1.15
12/03/2004;IT0003532915;1.12
15/03/2004;IT0003532915;1.107
16/03/2004;IT0003532915;1.149
17/03/2004;IT0003532915;1.096
18/03/2004;IT0003532915;1.06
19/03/2004;IT0003532915;1.059
