Date;ISIN;YL017
01/01/2004;GB0008932666;#N/A N/A
02/01/2004;GB0008932666;1.964
05/01/2004;GB0008932666;1.989
06/01/2004;GB0008932666;1.974
07/01/2004;GB0008932666;1.944
08/01/2004;GB0008932666;1.943
09/01/2004;GB0008932666;1.876
12/01/2004;GB0008932666;1.869
13/01/2004;GB0008932666;1.865
14/01/2004;GB0008932666;1.887
15/01/2004;GB0008932666;1.896
16/01/2004;GB0008932666;1.915
19/01/2004;GB0008932666;1.906
20/01/2004;GB0008932666;1.914
21/01/2004;GB0008932666;1.913
22/01/2004;GB0008932666;1.899
23/01/2004;GB0008932666;1.865
26/01/2004;GB0008932666;1.893
27/01/2004;GB0008932666;1.877
28/01/2004;GB0008932666;1.896
29/01/2004;GB0008932666;1.927
30/01/2004;GB0008932666;1.911
02/02/2004;GB0008932666;1.917
03/02/2004;GB0008932666;1.932
04/02/2004;GB0008932666;1.911
05/02/2004;GB0008932666;1.91
06/02/2004;GB0008932666;1.874
09/02/2004;GB0008932666;1.857
10/02/2004;GB0008932666;1.834
11/02/2004;GB0008932666;1.812
12/02/2004;GB0008932666;1.813
13/02/2004;GB0008932666;1.78
16/02/2004;GB0008932666;1.787
17/02/2004;GB0008932666;1.772
18/02/2004;GB0008932666;1.809
19/02/2004;GB0008932666;1.867
20/02/2004;GB0008932666;1.87
23/02/2004;GB0008932666;1.89
24/02/2004;GB0008932666;1.844
25/02/2004;GB0008932666;1.836
26/02/2004;GB0008932666;1.838
27/02/2004;GB0008932666;1.811
01/03/2004;GB0008932666;1.829
02/03/2004;GB0008932666;1.812
03/03/2004;GB0008932666;1.862
04/03/2004;GB0008932666;1.84
05/03/2004;GB0008932666;1.773
08/03/2004;GB0008932666;1.707
09/03/2004;GB0008932666;1.688
10/03/2004;GB0008932666;1.689
11/03/2004;GB0008932666;1.688
12/03/2004;GB0008932666;1.689
15/03/2004;GB0008932666;1.686
16/03/2004;GB0008932666;1.701
17/03/2004;GB0008932666;1.698
18/03/2004;GB0008932666;1.698
19/03/2004;GB0008932666;1.7
22/03/2004;GB0008932666;1.689
23/03/2004;GB0008932666;1.688
24/03/2004;GB0008932666;1.67
25/03/2004;GB0008932666;1.671
26/03/2004;GB0008932666;1.677
29/03/2004;GB0008932666;1.728
30/03/2004;GB0008932666;1.721
31/03/2004;GB0008932666;1.703
01/04/2004;GB0008932666;1.713
02/04/2004;GB0008932666;1.747
05/04/2004;GB0008932666;1.757
06/04/2004;GB0008932666;1.767
07/04/2004;GB0008932666;1.761
08/04/2004;GB0008932666;1.758
09/04/2004;GB0008932666;#N/A N/A
12/04/2004;GB0008932666;1.755
13/04/2004;GB0008932666;1.804
14/04/2004;GB0008932666;1.826
15/04/2004;GB0008932666;1.803
16/04/2004;GB0008932666;1.785
19/04/2004;GB0008932666;1.803
20/04/2004;GB0008932666;1.85
21/04/2004;GB0008932666;1.863
22/04/2004;GB0008932666;1.861
23/04/2004;GB0008932666;1.868
26/04/2004;GB0008932666;1.88
27/04/2004;GB0008932666;1.861
28/04/2004;GB0008932666;1.843
29/04/2004;GB0008932666;1.834
30/04/2004;GB0008932666;1.817
03/05/2004;GB0008932666;1.818
04/05/2004;GB0008932666;1.776
05/05/2004;GB0008932666;1.768
06/05/2004;GB0008932666;1.824
07/05/2004;GB0008932666;1.844
10/05/2004;GB0008932666;1.854
11/05/2004;GB0008932666;1.841
12/05/2004;GB0008932666;1.851
13/05/2004;GB0008932666;1.869
14/05/2004;GB0008932666;1.831
17/05/2004;GB0008932666;1.792
18/05/2004;GB0008932666;1.835
19/05/2004;GB0008932666;1.867
20/05/2004;GB0008932666;1.869
21/05/2004;GB0008932666;1.874
24/05/2004;GB0008932666;1.887
25/05/2004;GB0008932666;1.871
26/05/2004;GB0008932666;1.844
27/05/2004;GB0008932666;1.827
28/05/2004;GB0008932666;1.848
31/05/2004;GB0008932666;#N/A N/A
01/06/2004;GB0008932666;1.851
02/06/2004;GB0008932666;1.84
03/06/2004;GB0008932666;1.825
04/06/2004;GB0008932666;1.819
07/06/2004;GB0008932666;1.812
08/06/2004;GB0008932666;1.804
09/06/2004;GB0008932666;1.85
10/06/2004;GB0008932666;1.851
11/06/2004;GB0008932666;1.863
14/06/2004;GB0008932666;1.861
15/06/2004;GB0008932666;1.799
16/06/2004;GB0008932666;1.825
17/06/2004;GB0008932666;1.851
18/06/2004;GB0008932666;1.81
21/06/2004;GB0008932666;1.815
22/06/2004;GB0008932666;1.841
23/06/2004;GB0008932666;1.835
24/06/2004;GB0008932666;1.804
25/06/2004;GB0008932666;1.816
28/06/2004;GB0008932666;1.842
29/06/2004;GB0008932666;1.846
30/06/2004;GB0008932666;1.809
01/07/2004;GB0008932666;1.795
02/07/2004;GB0008932666;1.768
05/07/2004;GB0008932666;1.773
06/07/2004;GB0008932666;1.788
07/07/2004;GB0008932666;1.778
08/07/2004;GB0008932666;1.772
09/07/2004;GB0008932666;1.787
12/07/2004;GB0008932666;1.785
13/07/2004;GB0008932666;1.809
14/07/2004;GB0008932666;1.797
15/07/2004;GB0008932666;1.798
16/07/2004;GB0008932666;1.746
19/07/2004;GB0008932666;1.757
20/07/2004;GB0008932666;1.775
21/07/2004;GB0008932666;1.824
22/07/2004;GB0008932666;1.811
23/07/2004;GB0008932666;1.816
26/07/2004;GB0008932666;1.838
27/07/2004;GB0008932666;1.852
28/07/2004;GB0008932666;1.89
29/07/2004;GB0008932666;1.886
30/07/2004;GB0008932666;1.836
02/08/2004;GB0008932666;1.836
03/08/2004;GB0008932666;1.826
04/08/2004;GB0008932666;1.818
05/08/2004;GB0008932666;1.774
06/08/2004;GB0008932666;1.721
09/08/2004;GB0008932666;1.743
10/08/2004;GB0008932666;1.719
11/08/2004;GB0008932666;1.74
12/08/2004;GB0008932666;1.719
13/08/2004;GB0008932666;1.718
16/08/2004;GB0008932666;1.73
17/08/2004;GB0008932666;1.723
18/08/2004;GB0008932666;1.725
19/08/2004;GB0008932666;1.728
