Date;ISIN;YL017
01/01/2004;US912810FD55;2.325
02/01/2004;US912810FD55;2.369
05/01/2004;US912810FD55;2.358
06/01/2004;US912810FD55;2.311
07/01/2004;US912810FD55;2.296
08/01/2004;US912810FD55;2.344
09/01/2004;US912810FD55;2.272
12/01/2004;US912810FD55;2.271
13/01/2004;US912810FD55;2.227
14/01/2004;US912810FD55;2.24
15/01/2004;US912810FD55;2.232
16/01/2004;US912810FD55;2.231
19/01/2004;US912810FD55;2.231
20/01/2004;US912810FD55;2.232
21/01/2004;US912810FD55;2.193
22/01/2004;US912810FD55;2.17
23/01/2004;US912810FD55;2.262
26/01/2004;US912810FD55;2.29
27/01/2004;US912810FD55;2.255
28/01/2004;US912810FD55;2.306
29/01/2004;US912810FD55;2.272
30/01/2004;US912810FD55;2.225
02/02/2004;US912810FD55;2.217
03/02/2004;US912810FD55;2.193
04/02/2004;US912810FD55;2.185
05/02/2004;US912810FD55;2.218
06/02/2004;US912810FD55;2.176
09/02/2004;US912810FD55;2.165
10/02/2004;US912810FD55;2.198
11/02/2004;US912810FD55;2.174
12/02/2004;US912810FD55;2.195
13/02/2004;US912810FD55;2.178
16/02/2004;US912810FD55;2.179
17/02/2004;US912810FD55;2.183
18/02/2004;US912810FD55;2.181
19/02/2004;US912810FD55;2.174
20/02/2004;US912810FD55;2.209
23/02/2004;US912810FD55;2.174
24/02/2004;US912810FD55;2.161
25/02/2004;US912810FD55;2.133
26/02/2004;US912810FD55;2.117
27/02/2004;US912810FD55;2.037
01/03/2004;US912810FD55;1.993
02/03/2004;US912810FD55;2.046
03/03/2004;US912810FD55;2.041
04/03/2004;US912810FD55;2.032
05/03/2004;US912810FD55;1.948
08/03/2004;US912810FD55;1.918
09/03/2004;US912810FD55;1.894
10/03/2004;US912810FD55;1.917
11/03/2004;US912810FD55;1.937
12/03/2004;US912810FD55;1.967
15/03/2004;US912810FD55;1.938
16/03/2004;US912810FD55;1.901
17/03/2004;US912810FD55;1.888
18/03/2004;US912810FD55;1.91
19/03/2004;US912810FD55;1.968
22/03/2004;US912810FD55;1.949
23/03/2004;US912810FD55;1.922
24/03/2004;US912810FD55;1.898
25/03/2004;US912810FD55;1.911
26/03/2004;US912810FD55;1.952
29/03/2004;US912810FD55;1.965
30/03/2004;US912810FD55;1.977
31/03/2004;US912810FD55;1.954
01/04/2004;US912810FD55;1.957
02/04/2004;US912810FD55;2.104
05/04/2004;US912810FD55;2.145
06/04/2004;US912810FD55;2.131
07/04/2004;US912810FD55;2.201
08/04/2004;US912810FD55;2.196
09/04/2004;US912810FD55;2.203
12/04/2004;US912810FD55;2.193
13/04/2004;US912810FD55;2.246
14/04/2004;US912810FD55;2.277
15/04/2004;US912810FD55;2.322
16/04/2004;US912810FD55;2.271
19/04/2004;US912810FD55;2.292
20/04/2004;US912810FD55;2.349
21/04/2004;US912810FD55;2.358
22/04/2004;US912810FD55;2.376
23/04/2004;US912810FD55;2.479
26/04/2004;US912810FD55;2.423
27/04/2004;US912810FD55;2.4
28/04/2004;US912810FD55;2.495
29/04/2004;US912810FD55;2.562
30/04/2004;US912810FD55;2.543
03/05/2004;US912810FD55;2.519
04/05/2004;US912810FD55;2.556
05/05/2004;US912810FD55;2.556
06/05/2004;US912810FD55;2.597
07/05/2004;US912810FD55;2.622
10/05/2004;US912810FD55;2.625
11/05/2004;US912810FD55;2.565
12/05/2004;US912810FD55;2.551
13/05/2004;US912810FD55;2.553
14/05/2004;US912810FD55;2.524
17/05/2004;US912810FD55;2.454
18/05/2004;US912810FD55;2.423
19/05/2004;US912810FD55;2.387
20/05/2004;US912810FD55;2.346
21/05/2004;US912810FD55;2.418
24/05/2004;US912810FD55;2.395
25/05/2004;US912810FD55;2.405
26/05/2004;US912810FD55;2.384
27/05/2004;US912810FD55;2.353
28/05/2004;US912810FD55;2.392
31/05/2004;US912810FD55;2.388
01/06/2004;US912810FD55;2.356
02/06/2004;US912810FD55;2.408
03/06/2004;US912810FD55;2.423
04/06/2004;US912810FD55;2.446
07/06/2004;US912810FD55;2.443
08/06/2004;US912810FD55;2.482
09/06/2004;US912810FD55;2.53
10/06/2004;US912810FD55;2.515
11/06/2004;US912810FD55;2.53
14/06/2004;US912810FD55;2.565
15/06/2004;US912810FD55;2.468
16/06/2004;US912810FD55;2.477
17/06/2004;US912810FD55;2.449
18/06/2004;US912810FD55;2.429
21/06/2004;US912810FD55;2.433
22/06/2004;US912810FD55;2.448
23/06/2004;US912810FD55;2.453
24/06/2004;US912810FD55;2.427
25/06/2004;US912810FD55;2.444
28/06/2004;US912810FD55;2.515
29/06/2004;US912810FD55;2.478
30/06/2004;US912810FD55;2.386
01/07/2004;US912810FD55;2.342
02/07/2004;US912810FD55;2.279
05/07/2004;US912810FD55;2.286
06/07/2004;US912810FD55;2.294
07/07/2004;US912810FD55;2.319
08/07/2004;US912810FD55;2.319
09/07/2004;US912810FD55;2.337
12/07/2004;US912810FD55;2.356
13/07/2004;US912810FD55;2.382
14/07/2004;US912810FD55;2.394
15/07/2004;US912810FD55;2.381
16/07/2004;US912810FD55;2.334
19/07/2004;US912810FD55;2.342
20/07/2004;US912810FD55;2.403
21/07/2004;US912810FD55;2.395
22/07/2004;US912810FD55;2.395
23/07/2004;US912810FD55;2.375
26/07/2004;US912810FD55;2.418
27/07/2004;US912810FD55;2.531
28/07/2004;US912810FD55;2.502
29/07/2004;US912810FD55;2.483
30/07/2004;US912810FD55;2.448
02/08/2004;US912810FD55;2.432
03/08/2004;US912810FD55;2.41
04/08/2004;US912810FD55;2.401
05/08/2004;US912810FD55;2.373
06/08/2004;US912810FD55;2.28
09/08/2004;US912810FD55;2.286
10/08/2004;US912810FD55;2.303
11/08/2004;US912810FD55;2.264
12/08/2004;US912810FD55;2.211
13/08/2004;US912810FD55;2.186
16/08/2004;US912810FD55;2.229
17/08/2004;US912810FD55;2.226
18/08/2004;US912810FD55;2.277
19/08/2004;US912810FD55;2.217
20/08/2004;US912810FD55;2.222
23/08/2004;US912810FD55;2.283
24/08/2004;US912810FD55;2.291
25/08/2004;US912810FD55;2.291
26/08/2004;US912810FD55;2.275
27/08/2004;US912810FD55;2.266
30/08/2004;US912810FD55;2.244
31/08/2004;US912810FD55;2.183
01/09/2004;US912810FD55;2.186
02/09/2004;US912810FD55;2.244
03/09/2004;US912810FD55;2.289
06/09/2004;US912810FD55;2.289
07/09/2004;US912810FD55;2.264
08/09/2004;US912810FD55;2.228
09/09/2004;US912810FD55;2.246
10/09/2004;US912810FD55;2.248
13/09/2004;US912810FD55;2.207
14/09/2004;US912810FD55;2.208
15/09/2004;US912810FD55;2.249
16/09/2004;US912810FD55;2.209
17/09/2004;US912810FD55;2.233
20/09/2004;US912810FD55;2.209
21/09/2004;US912810FD55;2.205
22/09/2004;US912810FD55;2.147
23/09/2004;US912810FD55;2.169
24/09/2004;US912810FD55;2.176
27/09/2004;US912810FD55;2.135
28/09/2004;US912810FD55;2.114
29/09/2004;US912810FD55;2.165
30/09/2004;US912810FD55;2.164
01/10/2004;US912810FD55;2.21
04/10/2004;US912810FD55;2.229
05/10/2004;US912810FD55;2.219
06/10/2004;US912810FD55;2.289
07/10/2004;US912810FD55;2.283
08/10/2004;US912810FD55;2.205
11/10/2004;US912810FD55;2.201
12/10/2004;US912810FD55;2.184
13/10/2004;US912810FD55;2.161
14/10/2004;US912810FD55;2.135
15/10/2004;US912810FD55;2.146
18/10/2004;US912810FD55;2.147
19/10/2004;US912810FD55;2.142
20/10/2004;US912810FD55;2.106
21/10/2004;US912810FD55;2.086
22/10/2004;US912810FD55;2.093
25/10/2004;US912810FD55;2.099
26/10/2004;US912810FD55;2.118
27/10/2004;US912810FD55;2.21
28/10/2004;US912810FD55;2.138
29/10/2004;US912810FD55;2.139
01/11/2004;US912810FD55;2.174
02/11/2004;US912810FD55;2.104
03/11/2004;US912810FD55;2.087
04/11/2004;US912810FD55;2.119
05/11/2004;US912810FD55;2.183
08/11/2004;US912810FD55;2.206
09/11/2004;US912810FD55;2.21
10/11/2004;US912810FD55;2.213
11/11/2004;US912810FD55;2.213
12/11/2004;US912810FD55;2.171
15/11/2004;US912810FD55;2.126
16/11/2004;US912810FD55;2.132
17/11/2004;US912810FD55;2.092
18/11/2004;US912810FD55;2.075
19/11/2004;US912810FD55;2.098
22/11/2004;US912810FD55;2.046
23/11/2004;US912810FD55;2.056
24/11/2004;US912810FD55;2.054
25/11/2004;US912810FD55;2.054
26/11/2004;US912810FD55;2.092
29/11/2004;US912810FD55;2.137
30/11/2004;US912810FD55;2.177
01/12/2004;US912810FD55;2.182
02/12/2004;US912810FD55;2.215
03/12/2004;US912810FD55;2.11
06/12/2004;US912810FD55;2.091
07/12/2004;US912810FD55;2.085
08/12/2004;US912810FD55;2.013
09/12/2004;US912810FD55;2.054
10/12/2004;US912810FD55;2.062
13/12/2004;US912810FD55;2.041
14/12/2004;US912810FD55;2.013
15/12/2004;US912810FD55;1.934
16/12/2004;US912810FD55;2.002
17/12/2004;US912810FD55;2
20/12/2004;US912810FD55;1.96
21/12/2004;US912810FD55;1.89
22/12/2004;US912810FD55;1.927
23/12/2004;US912810FD55;1.935
24/12/2004;US912810FD55;1.932
27/12/2004;US912810FD55;1.964
28/12/2004;US912810FD55;1.996
29/12/2004;US912810FD55;2.013
30/12/2004;US912810FD55;1.98
31/12/2004;US912810FD55;1.941
03/01/2005;US912810FD55;1.946
04/01/2005;US912810FD55;2.008
05/01/2005;US912810FD55;2.019
06/01/2005;US912810FD55;2.017
07/01/2005;US912810FD55;2.047
10/01/2005;US912810FD55;2.029
11/01/2005;US912810FD55;2.013
12/01/2005;US912810FD55;1.987
13/01/2005;US912810FD55;1.94
14/01/2005;US912810FD55;1.959
17/01/2005;US912810FD55;1.95
18/01/2005;US912810FD55;1.922
19/01/2005;US912810FD55;1.927
20/01/2005;US912810FD55;1.937
21/01/2005;US912810FD55;1.914
24/01/2005;US912810FD55;1.893
25/01/2005;US912810FD55;1.992
26/01/2005;US912810FD55;1.982
27/01/2005;US912810FD55;1.988
28/01/2005;US912810FD55;1.94
31/01/2005;US912810FD55;1.928
01/02/2005;US912810FD55;1.944
02/02/2005;US912810FD55;1.955
03/02/2005;US912810FD55;1.967
04/02/2005;US912810FD55;1.885
07/02/2005;US912810FD55;1.835
08/02/2005;US912810FD55;1.781
09/02/2005;US912810FD55;1.732
10/02/2005;US912810FD55;1.801
11/02/2005;US912810FD55;1.772
14/02/2005;US912810FD55;1.719
15/02/2005;US912810FD55;1.777
16/02/2005;US912810FD55;1.798
17/02/2005;US912810FD55;1.832
18/02/2005;US912810FD55;1.847
21/02/2005;US912810FD55;1.847
22/02/2005;US912810FD55;1.896
23/02/2005;US912810FD55;1.873
24/02/2005;US912810FD55;1.898
25/02/2005;US912810FD55;1.899
28/02/2005;US912810FD55;1.961
01/03/2005;US912810FD55;1.943
02/03/2005;US912810FD55;1.942
03/03/2005;US912810FD55;1.934
04/03/2005;US912810FD55;1.861
07/03/2005;US912810FD55;1.805
08/03/2005;US912810FD55;1.843
09/03/2005;US912810FD55;1.931
10/03/2005;US912810FD55;1.944
11/03/2005;US912810FD55;1.982
14/03/2005;US912810FD55;1.968
15/03/2005;US912810FD55;1.985
16/03/2005;US912810FD55;1.965
17/03/2005;US912810FD55;1.911
18/03/2005;US912810FD55;1.947
21/03/2005;US912810FD55;1.96
22/03/2005;US912810FD55;2.056
23/03/2005;US912810FD55;2.029
24/03/2005;US912810FD55;2.03
25/03/2005;US912810FD55;2.033
28/03/2005;US912810FD55;2.057
29/03/2005;US912810FD55;2.027
30/03/2005;US912810FD55;1.986
31/03/2005;US912810FD55;1.907
01/04/2005;US912810FD55;1.892
04/04/2005;US912810FD55;1.906
05/04/2005;US912810FD55;1.933
06/04/2005;US912810FD55;1.935
07/04/2005;US912810FD55;2.001
08/04/2005;US912810FD55;1.976
11/04/2005;US912810FD55;1.943
12/04/2005;US912810FD55;1.887
13/04/2005;US912810FD55;1.904
14/04/2005;US912810FD55;1.892
15/04/2005;US912810FD55;1.85
18/04/2005;US912810FD55;1.844
19/04/2005;US912810FD55;1.797
20/04/2005;US912810FD55;1.78
21/04/2005;US912810FD55;1.842
22/04/2005;US912810FD55;1.81
25/04/2005;US912810FD55;1.821
26/04/2005;US912810FD55;1.863
27/04/2005;US912810FD55;1.869
28/04/2005;US912810FD55;1.777
29/04/2005;US912810FD55;1.82
02/05/2005;US912810FD55;1.815
03/05/2005;US912810FD55;1.809
04/05/2005;US912810FD55;1.855
05/05/2005;US912810FD55;1.849
06/05/2005;US912810FD55;1.886
09/05/2005;US912810FD55;1.886
10/05/2005;US912810FD55;1.841
11/05/2005;US912810FD55;1.82
12/05/2005;US912810FD55;1.808
13/05/2005;US912810FD55;1.812
16/05/2005;US912810FD55;1.823
17/05/2005;US912810FD55;1.801
18/05/2005;US912810FD55;1.821
19/05/2005;US912810FD55;1.824
20/05/2005;US912810FD55;1.795
23/05/2005;US912810FD55;1.762
24/05/2005;US912810FD55;1.735
25/05/2005;US912810FD55;1.797
26/05/2005;US912810FD55;1.837
27/05/2005;US912810FD55;1.834
30/05/2005;US912810FD55;#N/A N/A
31/05/2005;US912810FD55;1.77
01/06/2005;US912810FD55;1.674
02/06/2005;US912810FD55;1.678
03/06/2005;US912810FD55;1.721
06/06/2005;US912810FD55;1.703
07/06/2005;US912810FD55;1.689
08/06/2005;US912810FD55;1.726
09/06/2005;US912810FD55;1.727
10/06/2005;US912810FD55;1.825
13/06/2005;US912810FD55;1.86
14/06/2005;US912810FD55;1.887
15/06/2005;US912810FD55;1.867
16/06/2005;US912810FD55;1.819
17/06/2005;US912810FD55;1.832
20/06/2005;US912810FD55;1.853
21/06/2005;US912810FD55;1.838
22/06/2005;US912810FD55;1.797
23/06/2005;US912810FD55;1.8
24/06/2005;US912810FD55;1.778
27/06/2005;US912810FD55;1.751
28/06/2005;US912810FD55;1.789
29/06/2005;US912810FD55;1.796
