tips_mat,tips_cpn,tsy_mat,tsy_cpn,mismatch_d,fll_bp_mean,fll_N
2007-01-15,3.375,2006-12-31,3.000,15,34.57,506
2008-01-15,3.625,2007-12-31,4.375,15,53.82,502
2009-01-15,3.875,2009-01-15,3.250,0,72.54,1109
2010-01-15,4.250,2010-01-15,3.625,0,55.14,1215
2010-04-15,0.875,2010-04-15,4.000,0,58.25,1161
2011-01-15,3.500,2011-01-15,4.250,0,50.24,971
2011-04-15,2.375,2011-03-31,4.750,15,56.13,736
2012-01-15,3.375,2012-01-15,1.125,0,72.32,215
2012-04-15,2.000,2012-04-15,1.375,0,54.11,154
2012-07-15,3.000,2012-07-15,1.500,0,60.25,91
2013-04-15,0.625,2013-03-31,2.500,15,55.44,395
2013-07-15,1.875,2013-06-30,3.375,15,96.27,353
2014-01-15,2.000,2013-12-31,1.500,15,103.66,225
2014-04-15,1.250,2014-03-31,1.750,15,41.24,143
2014-07-15,2.000,2014-06-30,2.625,15,67.20,101
2015-01-15,1.625,2015-02-15,4.000,31,55.48,1204
2015-07-15,1.875,2015-08-15,4.250,31,56.39,1079
2016-01-15,2.000,2016-02-15,4.500,31,59.66,950
2016-07-15,2.500,2016-06-30,3.250,15,62.34,101
2017-01-15,2.375,2017-02-15,4.625,31,58.22,698
2017-07-15,2.625,2017-08-15,4.750,31,57.29,573
2018-01-15,1.625,2018-02-25,3.500,31,65.33,446
2018-07-15,1.375,2018-08-15,4.000,31,65.78,320
2019-01-15,2.125,2019-02-15,2.750,31,68.36,194
2019-07-15,1.875,2019-08-15,3.625,31,47.98,68
2025-01-15,2.375,2025-02-15,7.625,31,29.40,1342
2026-01-15,2.000,2026-02-15,6.000,31,36.85,961
2027-01-15,2.375,2027-02-15,6.625,31,36.42,709
2029-01-15,2.500,2029-02-15,5.250,31,48.43,205
