observation_date,JPNEPUINDXM
1988-06-01,29.92083
1988-07-01,56.23375
1988-08-01,65.75393
1988-09-01,62.68768
1988-10-01,94.77157
1988-11-01,74.04242
1988-12-01,64.18861
1989-01-01,78.26065
1989-02-01,56.69110
1989-03-01,64.65759
1989-04-01,50.54290
1989-05-01,82.17016
1989-06-01,81.74530
1989-07-01,89.30206
1989-08-01,57.52341
1989-09-01,41.92749
1989-10-01,71.68958
1989-11-01,68.61228
1989-12-01,92.22920
1990-01-01,111.30325
1990-02-01,107.26021
1990-03-01,137.04398
1990-04-01,129.38129
1990-05-01,85.41154
1990-06-01,129.19009
1990-07-01,129.66475
1990-08-01,82.51282
1990-09-01,150.93512
1990-10-01,99.21724
1990-11-01,64.75842
1990-12-01,150.04018
1991-01-01,163.17007
1991-02-01,131.24524
1991-03-01,99.33277
1991-04-01,80.02833
1991-05-01,57.51787
1991-06-01,67.61722
1991-07-01,93.43324
1991-08-01,110.32553
1991-09-01,88.13293
1991-10-01,83.83375
1991-11-01,117.19335
1991-12-01,81.90053
1992-01-01,95.01215
1992-02-01,81.09249
1992-03-01,79.62749
1992-04-01,71.28645
1992-05-01,44.68391
1992-06-01,75.63434
1992-07-01,88.44308
1992-08-01,92.33400
1992-09-01,93.96710
1992-10-01,62.10633
1992-11-01,84.51952
1992-12-01,85.90663
1993-01-01,82.56995
1993-02-01,58.65670
1993-03-01,66.56599
1993-04-01,60.57844
1993-05-01,62.67945
1993-06-01,105.87585
1993-07-01,173.61096
1993-08-01,105.05620
1993-09-01,103.51103
1993-10-01,78.82784
1993-11-01,84.12623
1993-12-01,97.81749
1994-01-01,177.28609
1994-02-01,159.76644
1994-03-01,112.44389
1994-04-01,113.21816
1994-05-01,88.87657
1994-06-01,118.11605
1994-07-01,71.88177
1994-08-01,67.54008
1994-09-01,64.31584
1994-10-01,60.76060
1994-11-01,92.28052
1994-12-01,75.91818
1995-01-01,95.93575
1995-02-01,69.55904
1995-03-01,102.55873
1995-04-01,66.37704
1995-05-01,93.31389
1995-06-01,135.42468
1995-07-01,125.73398
1995-08-01,104.55411
1995-09-01,101.94550
1995-10-01,55.68587
1995-11-01,82.24705
1995-12-01,123.78150
1996-01-01,156.08027
1996-02-01,102.03532
1996-03-01,100.89508
1996-04-01,126.03160
1996-05-01,71.03469
1996-06-01,116.35827
1996-07-01,66.84104
