"As Of Date","Time Series","Value (millions)"
"2013-04-03","PDPOSTIPS-G11","372"
"2013-04-03","PDPOSTIPS-G2","-2721"
"2013-04-03","PDPOSTIPS-G6L11","3729"
"2013-04-03","PDPOSTIPS-L2","5272"
"2013-04-10","PDPOSTIPS-G11","341"
"2013-04-10","PDPOSTIPS-G2","-2320"
"2013-04-10","PDPOSTIPS-G6L11","2057"
"2013-04-10","PDPOSTIPS-L2","4925"
"2013-04-17","PDPOSTIPS-G11","38"
"2013-04-17","PDPOSTIPS-G2","-1205"
"2013-04-17","PDPOSTIPS-G6L11","2074"
"2013-04-17","PDPOSTIPS-L2","4156"
"2013-04-24","PDPOSTIPS-G11","-730"
"2013-04-24","PDPOSTIPS-G2","3412"
"2013-04-24","PDPOSTIPS-G6L11","2040"
"2013-04-24","PDPOSTIPS-L2","3070"
"2013-05-01","PDPOSTIPS-G11","-94"
"2013-05-01","PDPOSTIPS-G2","1108"
"2013-05-01","PDPOSTIPS-G6L11","1509"
"2013-05-01","PDPOSTIPS-L2","4523"
"2013-05-08","PDPOSTIPS-G11","223"
"2013-05-08","PDPOSTIPS-G2","453"
"2013-05-08","PDPOSTIPS-G6L11","1728"
"2013-05-08","PDPOSTIPS-L2","3762"
"2013-05-15","PDPOSTIPS-G11","-626"
"2013-05-15","PDPOSTIPS-G2","-413"
"2013-05-15","PDPOSTIPS-G6L11","2508"
"2013-05-15","PDPOSTIPS-L2","3188"
"2013-05-22","PDPOSTIPS-G11","-631"
"2013-05-22","PDPOSTIPS-G2","-504"
"2013-05-22","PDPOSTIPS-G6L11","2011"
"2013-05-22","PDPOSTIPS-L2","2924"
"2013-05-29","PDPOSTIPS-G11","-576"
"2013-05-29","PDPOSTIPS-G2","-818"
"2013-05-29","PDPOSTIPS-G6L11","4044"
"2013-05-29","PDPOSTIPS-L2","2898"
"2013-06-05","PDPOSTIPS-G11","367"
"2013-06-05","PDPOSTIPS-G2","-257"
"2013-06-05","PDPOSTIPS-G6L11","2620"
"2013-06-05","PDPOSTIPS-L2","2549"
"2013-06-12","PDPOSTIPS-G11","-166"
"2013-06-12","PDPOSTIPS-G2","731"
"2013-06-12","PDPOSTIPS-G6L11","1701"
"2013-06-12","PDPOSTIPS-L2","1872"
"2013-06-19","PDPOSTIPS-G11","121"
"2013-06-19","PDPOSTIPS-G2","634"
"2013-06-19","PDPOSTIPS-G6L11","595"
"2013-06-19","PDPOSTIPS-L2","817"
"2013-06-26","PDPOSTIPS-G11","-123"
"2013-06-26","PDPOSTIPS-G2","794"
"2013-06-26","PDPOSTIPS-G6L11","898"
"2013-06-26","PDPOSTIPS-L2","-47"
"2013-07-03","PDPOSTIPS-G11","40"
"2013-07-03","PDPOSTIPS-G2","151"
"2013-07-03","PDPOSTIPS-G6L11","644"
"2013-07-03","PDPOSTIPS-L2","-200"
"2013-07-10","PDPOSTIPS-G11","14"
"2013-07-10","PDPOSTIPS-G2","403"
"2013-07-10","PDPOSTIPS-G6L11","269"
"2013-07-10","PDPOSTIPS-L2","459"
"2013-07-17","PDPOSTIPS-G11","-244"
"2013-07-17","PDPOSTIPS-G2","70"
"2013-07-17","PDPOSTIPS-G6L11","-488"
"2013-07-17","PDPOSTIPS-L2","-98"
"2013-07-24","PDPOSTIPS-G11","-486"
"2013-07-24","PDPOSTIPS-G2","77"
"2013-07-24","PDPOSTIPS-G6L11","4419"
"2013-07-24","PDPOSTIPS-L2","667"
"2013-07-31","PDPOSTIPS-G11","-1079"
"2013-07-31","PDPOSTIPS-G2","-994"
