,"ILLIQ Composite"
1998-04-01,199.85637955917704
1998-04-02,201.62317605455158
1998-04-03,199.869863187473
1998-04-06,201.86746704057174
1998-04-07,197.28660743956794
1998-04-08,197.54109792963249
1998-04-09,197.21605865191916
1998-04-10,197.21605865191916
1998-04-13,197.63919060887488
1998-04-14,198.8632990902513
1998-04-15,199.9647274208409
1998-04-16,200.13222508698829
1998-04-17,199.75527956748783
1998-04-20,200.0547957976383
1998-04-21,199.62294559788063
1998-04-22,199.19275170625565
1998-04-23,200.40415387884784
1998-04-24,201.70464117375337
1998-04-27,206.8200914462361
1998-04-28,207.3978132706317
1998-04-29,207.21936705727975
1998-04-30,209.09433077965426
1998-05-01,210.24547674309176
1998-05-04,211.5668510455631
1998-05-05,211.91008766687906
1998-05-06,216.2554198920568
1998-05-07,217.05437728115234
1998-05-08,217.3103129709906
1998-05-11,214.63260674828794
1998-05-12,212.50131985463892
1998-05-13,210.51595568710405
1998-05-14,207.70732807845783
1998-05-15,208.92242594936565
1998-05-18,209.0520047334345
1998-05-19,206.77230839215738
1998-05-20,207.37277200231927
1998-05-21,209.10284285030758
1998-05-22,209.80156030157448
1998-05-25,209.80156030157448
1998-05-26,214.87870657224443
1998-05-27,211.64485227124587
1998-05-28,209.6083645355231
1998-05-29,213.34293912143644
1998-06-01,215.9449320306864
1998-06-02,212.32388895415718
1998-06-03,215.24127801006958
1998-06-04,215.21709465640774
1998-06-05,218.33100242534834
1998-06-08,218.2921076053987
1998-06-09,216.24239548190366
1998-06-10,215.0741579218125
1998-06-11,219.058620224159
1998-06-12,216.8868190758948
1998-06-15,223.30857881270452
1998-06-16,223.09527628389745
1998-06-17,224.67666759183484
1998-06-18,221.79517651494973
1998-06-19,220.571911254207
1998-06-22,219.49880862378163
1998-06-23,218.8116208132094
1998-06-24,218.63982871340414
1998-06-25,212.6697164341986
1998-06-26,211.93266489677836
1998-06-29,212.32579195530533
1998-06-30,207.27862378304903
1998-07-01,209.36450346483977
1998-07-02,209.5673341149164
1998-07-03,209.5673341149164
1998-07-06,208.57147070234896
1998-07-07,205.41490512783284
1998-07-08,200.241355443547
1998-07-09,199.59323080814065
1998-07-10,198.04463521480525
1998-07-13,194.55969020113622
1998-07-14,192.51277375460677
1998-07-15,192.38031498907148
1998-07-16,185.5391619974132
1998-07-17,183.72433089417675
1998-07-20,183.32288956567064
1998-07-21,188.19090086309868
1998-07-22,186.49124995072788
1998-07-23,191.39025770106002
1998-07-24,187.75449155228566
1998-07-27,183.84020343650153
1998-07-28,187.4497952574139
1998-07-29,189.3474559796803
1998-07-30,190.48718088167706
1998-07-31,196.80143602249166
1998-08-03,198.28337891431127
1998-08-04,207.56792074004895
1998-08-05,203.8309130124534
1998-08-06,204.36395188407812
1998-08-07,205.71717798606252
1998-08-10,206.3160166360583
1998-08-11,208.48100898536697
1998-08-12,211.7397948262215
1998-08-13,212.58602339340365
1998-08-14,214.61745760900266
1998-08-17,217.68452477848044
1998-08-18,220.95820072880028
1998-08-19,219.42162418748146
1998-08-20,219.46962254187972
1998-08-21,218.2368458052523
1998-08-24,211.9316708156245
1998-08-25,210.46463801000687
1998-08-26,209.3649346920323
1998-08-27,215.55982195776187
1998-08-28,218.48339051139362
1998-08-31,239.48486517074517
1998-09-01,235.8781439289237
1998-09-02,237.69459865359937
1998-09-03,231.57122415176346
1998-09-04,236.61636422571289
1998-09-07,236.61636422571289
1998-09-08,246.71938601477746
1998-09-09,247.87937554726153
1998-09-10,255.71603391647616
1998-09-11,258.1243829123481
1998-09-14,260.06814839501465
1998-09-15,257.815251847043
1998-09-16,256.32147745770953
1998-09-17,261.8345734465848
1998-09-18,261.5197231314826
1998-09-21,261.8711341317358
1998-09-22,262.7106523498548
1998-09-23,268.52043445948084
1998-09-24,274.46110131371427
1998-09-25,274.87570644984345
1998-09-28,277.26618735291225
1998-09-29,269.7704979777466
1998-09-30,277.6255996409876
1998-10-01,269.96318408121397
1998-10-02,263.7283267420849
1998-10-05,267.43731418030984
1998-10-06,271.5096526684681
1998-10-07,272.3628756198663
1998-10-08,256.57823659418096
1998-10-09,260.59189264005386
1998-10-12,261.9754297370983
1998-10-13,262.8170507239895
1998-10-14,261.0638080452703
1998-10-15,265.1727534382709
1998-10-16,267.4696408022081
1998-10-19,262.4816839662347
1998-10-20,268.4299958653722
1998-10-21,263.67194993573537
1998-10-22,263.4803716131109
1998-10-23,256.8820472265877
1998-10-26,254.7027835661647
1998-10-27,255.97359392086832
1998-10-28,254.18406467158226
1998-10-29,253.43995766153753
1998-10-30,250.06777131785498
1998-11-02,244.50783726607906
1998-11-03,243.23910017763657
1998-11-04,238.07318079489542
1998-11-05,235.74200370984605
1998-11-06,230.93869817537333
1998-11-09,231.05966394417726
1998-11-10,222.45602440270704
1998-11-11,214.621519494079
1998-11-12,210.55521217386953
1998-11-13,207.71497973497102
1998-11-16,199.89019418259937
1998-11-17,196.14760766629226
1998-11-18,194.1467301599975
1998-11-19,191.55191460598812
1998-11-20,188.97242490560808
1998-11-23,188.04792123789323
1998-11-24,184.3421149364147
1998-11-25,180.69960347716818
1998-11-26,180.69960347716818
1998-11-27,188.39554432511144
1998-11-30,195.22507864541552
1998-12-01,188.90607751934505
1998-12-02,186.71026261700803
1998-12-03,192.27462251595395
1998-12-04,193.66898408853294
1998-12-07,192.7637583625399
1998-12-08,191.7718502556216
1998-12-09,190.37600895942802
1998-12-10,190.90073699859897
1998-12-11,188.77470633365985
1998-12-14,194.8797485364058
1998-12-15,193.27989532897305
1998-12-16,192.72754212313586
1998-12-17,191.74492558775572
1998-12-18,191.12160054830454
1998-12-21,189.79411893496015
1998-12-22,190.70989536570946
1998-12-23,192.44526684447658
1998-12-24,196.79705571429463
1998-12-25,196.79705571429463
1998-12-28,199.15827815395795
1998-12-29,202.17137479108297
1998-12-30,196.28955815217205
1998-12-31,192.93855253982196
1999-01-01,192.93855253982196
1999-01-04,192.44802677806317
1999-01-05,190.88939485140423
1999-01-06,185.48150650474446
1999-01-07,179.65916068731278
1999-01-08,183.54650898972326
1999-01-11,184.23888577702903
1999-01-12,188.65048637963343
1999-01-13,183.37662875388676
1999-01-14,185.49524652822328
1999-01-15,179.77713069331136
1999-01-18,179.77713069331136
1999-01-19,175.1164241149296
1999-01-20,172.26501941323133
1999-01-21,172.23693687162344
1999-01-22,171.38575073372763
1999-01-25,170.8683235817478
1999-01-26,166.5364927591366
1999-01-27,163.20412177044545
1999-01-28,157.35901498471355
1999-01-29,154.25592414927144
1999-02-01,151.99050329700344
1999-02-02,151.53452315540451
1999-02-03,149.65412304847374
1999-02-04,153.3429727207188
1999-02-05,154.06121743585717
1999-02-08,153.22447006370257
1999-02-09,158.67155906949725
1999-02-10,158.19712216731696
1999-02-11,158.3625470100913
1999-02-12,159.2477419192789
1999-02-15,159.2477419192789
1999-02-16,160.2610874574516
1999-02-17,162.1024869207641
1999-02-18,158.9630413952872
1999-02-19,157.6509858197609
1999-02-22,159.58110982701746
1999-02-23,156.78267631884864
1999-02-24,157.81199063666816
1999-02-25,156.48895500058595
1999-02-26,156.20982684568006
1999-03-01,155.44678122855046
1999-03-02,157.25213572955738
1999-03-03,155.2192937372497
1999-03-04,154.8042996721441
1999-03-05,156.89187953279776
1999-03-08,156.49349904211047
1999-03-09,153.47353447597146
1999-03-10,152.9770550626066
1999-03-11,151.28354221884274
1999-03-12,147.3299591930737
1999-03-15,145.13505896731107
1999-03-16,139.4022698634373
1999-03-17,138.01854284845996
1999-03-18,136.10201169251408
1999-03-19,135.80372640799985
1999-03-22,136.48911147984475
1999-03-23,142.79089049075944
1999-03-24,139.84713466966133
1999-03-25,139.86212422432774
1999-03-26,138.35643006182588
1999-03-29,142.63676670074616
1999-03-30,141.65224724553465
1999-03-31,143.2953745259696
1999-04-01,142.67334981073432
1999-04-02,142.67334981073432
1999-04-05,144.64513568323562
1999-04-06,141.7841013177723
1999-04-07,140.51407809673
1999-04-08,139.83043233624466
1999-04-09,139.9147356523351
1999-04-12,143.64776693641002
1999-04-13,146.96614766469582
1999-04-14,155.92760792840488
1999-04-15,157.96845721490075
1999-04-16,160.64431000155517
1999-04-19,167.5006608850005
1999-04-20,166.05910567160163
1999-04-21,166.08003399105644
1999-04-22,162.61777647596742
1999-04-23,157.42418297119997
1999-04-26,157.07767347134688
1999-04-27,157.841152525851
1999-04-28,162.08007827272002
1999-04-29,159.58952427976814
1999-04-30,158.0306315002604
1999-05-03,158.96930344523187
1999-05-04,161.93375061838788
1999-05-05,155.85014245630504
1999-05-06,159.5847595287264
1999-05-07,159.09149816641985
1999-05-10,159.01949935456756
1999-05-11,157.84179269383694
1999-05-12,155.1393177551778
1999-05-13,155.26669867278957
1999-05-14,156.849212648269
1999-05-17,155.2600369323092
1999-05-18,155.46045613264494
1999-05-19,153.89305960695978
1999-05-20,154.51926917999873
1999-05-21,151.8576574128995
1999-05-24,155.41475317736123
1999-05-25,158.60307614959842
1999-05-26,156.62898457034075
1999-05-27,158.38076196428835
1999-05-28,159.31053848582087
1999-05-31,159.31053848582087
1999-06-01,165.46339788374516
1999-06-02,166.10639512231427
1999-06-03,167.0879159714015
1999-06-04,166.94825443245887
1999-06-07,168.42076388992155
1999-06-08,172.3648558985029
1999-06-09,172.60557255314458
1999-06-10,176.233281456766
1999-06-11,178.05740197183755
1999-06-14,181.8212113440328
1999-06-15,181.23770319945393
1999-06-16,178.4456545090047
1999-06-17,177.31937157054435
1999-06-18,176.01347918848057
1999-06-21,174.97399230752396
1999-06-22,175.295417018372
1999-06-23,175.3860387801745
1999-06-24,173.768529720147
1999-06-25,172.8364581337398
1999-06-28,172.27848526664232
1999-06-29,169.68078668784338
1999-06-30,165.49899241680083
1999-07-01,162.63535722480003
1999-07-02,161.66486743600072
1999-07-05,161.66486743600072
1999-07-06,160.12517942019142
1999-07-07,155.34998054637188
1999-07-08,153.02338502970818
1999-07-09,149.53573706355073
1999-07-12,148.92736839543818
1999-07-13,145.57532706798386
1999-07-14,143.7876787995184
